호프,요리주점|모영|제주특별자치도 서귀포시 성산읍 동류암로 44|010-5636-7330|,
호프,요리주점|모퉁이샵|제주특별자치도 서귀포시 성산읍 일출로 270-2|064-783-4517|,
호프,요리주점|임창정의소주한잔 서귀포점|제주특별자치도 서귀포시 이중섭로 4-1|064-763-1556|,
술집|찰스앤바비|제주특별자치도 서귀포시 중문관광로 288 지하1층|010-2809-3617|,,
와인바|뮈르|제주특별자치도 서귀포시 하예로 28 2층|064-900-3685|,,
호프,요리주점|마주앉아|제주특별자치도 서귀포시 명동로 27|064-733-9339|,
일본식주점|아지 법환점|제주특별자치도 서귀포시 월드컵로 163 2층|064-738-3255|,,
실내포장마차|이듸포차|제주특별자치도 서귀포시 대정읍 하모항구로 73 1층|064-792-2022|,,
호프,요리주점|두꺼비|제주특별자치도 서귀포시 표선면 표선동서로 180|0507-1348-1288|,
호프,요리주점|역전할머니맥주 중문점|제주특별자치도 서귀포시 천제연로 200|064-739-6700|,
실내포장마차|은주식당|제주특별자치도 서귀포시 대정읍 추사로 44|010-7458-7311|,,
와인바|성산연화|제주특별자치도 서귀포시 성산읍 성산중앙로 22 1층 성산연화|064-805-0211|,,
호프,요리주점|데블스도어 제주신화월드점|제주특별자치도 서귀포시 안덕면 서광리 산 24|064-908-1721|,
일본식주점|로바타탄요 제주|제주특별자치도 서귀포시 안덕면 신화역사로 423 마마뜰 상가 2층|064-792-8011|,,
일본식주점|모모|제주특별자치도 서귀포시 신서로32번길 32|064-738-9436|,,
술집|늘여름|제주특별자치도 서귀포시 태평로353번길 22-5|010-9936-1950|,,
호프,요리주점|어른이보호구역|제주특별자치도 서귀포시 성산읍 고성오조로 62-1 2층|010-4515-3702|,
실내포장마차|괸당포차|제주특별자치도 서귀포시 부두로 29-1|064-757-1511|,,
호프,요리주점|더쏠|제주특별자치도 서귀포시 색달중앙로63번길 2|0507-1395-8303|,
와인바|가가호호|제주특별자치도 서귀포시 남원읍 태위로 87 1층 왼쪽끝집||,,
호프,요리주점|바다펍|제주특별자치도 서귀포시 성산읍 섭지코지로 62||,
호프,요리주점|숲숲포레스트|제주특별자치도 서귀포시 김정문화로41번길 14-6|064-739-9398|,
호프,요리주점|술이조화|제주특별자치도 서귀포시 천제연로 169 5층|010-5805-3255|,
와인바|와인씨 제주|제주특별자치도 서귀포시 안덕면 난드르로 13|064-739-1311|,,
호프,요리주점|블루홀|제주특별자치도 서귀포시 남원읍 태위로 94-46||,
술집|서핑캠퍼|제주특별자치도 서귀포시 표선면 표선중앙로110번길 2||,,
호프,요리주점|해바라기|제주특별자치도 서귀포시 남원읍 한신로 280|064-764-9909|,
와인바|소심한이층|제주특별자치도 서귀포시 성산읍 성산등용로 17 2층|010-2449-8890|,,
술집|꼬란|제주특별자치도 서귀포시 동문동로 2||,,
호프,요리주점|창흥상회편의점포차|제주특별자치도 서귀포시 중산간동로 8052 1층|064-733-2223|,
와인바|페닌슐라 롯데호텔제주|제주특별자치도 서귀포시 중문관광로72번길 35 본관 8층|064-731-4240|,,
호프,요리주점|안녕모슬포|제주특별자치도 서귀포시 대정읍 신영로 61|064-792-7678|,
호프,요리주점|키다리네살롱|제주특별자치도 서귀포시 안덕면 화순임중로 53||,
호프,요리주점|헤븐앤얼스|제주특별자치도 서귀포시 중정로 13 2층|070-8800-0406|,
일본식주점|이자카야범|제주특별자치도 서귀포시 서호로 33-1|010-5879-5432|,,
일본식주점|토로|제주특별자치도 서귀포시 태평로442번길 2 1층|0507-1460-0551|,,
와인바|취향의온도|제주특별자치도 서귀포시 성산읍 일출로255번길 4||,,
호프,요리주점|리얼펍 제주1호점|제주특별자치도 서귀포시 김정문화로41번길 10-1||,
칵테일바|더루머스|제주특별자치도 서귀포시 태평로 408||,,
호프,요리주점|와라와라 서귀포서홍점|제주특별자치도 서귀포시 홍중로 73|064-733-5255|,
실내포장마차|한잔하게|제주특별자치도 서귀포시 신동로27번길 27||,,
호프,요리주점|최고봉주방|제주특별자치도 서귀포시 이어도로 919 1층|010-4920-8876|,
호프,요리주점|후추|제주특별자치도 서귀포시 월드컵로 163 1층||,
호프,요리주점|표선주막|제주특별자치도 서귀포시 표선면 표선관정로 39-37||,
호프,요리주점|주점부리 표선점|제주특별자치도 서귀포시 표선면 표선동서로 221|064-787-7868|,
실내포장마차|청춘포차|제주특별자치도 서귀포시 중문상로17번길 4||,,
호프,요리주점|술고래|제주특별자치도 서귀포시 중문상로17번길 4 A동 1,2호||
호프,요리주점|속에천불 청송얼음막걸리 동홍점|제주특별자치도 서귀포시 동홍중앙로 73|064-762-6776|,
실내포장마차|팔도실비집 신서귀포점|제주특별자치도 서귀포시 신중남로 26|064-733-1880|,,
호프,요리주점|역전할머니맥주 제주 표선점|제주특별자치도 서귀포시 표선면 표선중앙로 94|064-787-2221|,
호프,요리주점|솔동산스토리|제주특별자치도 서귀포시 솔동산로 10|064-732-0055|,
호프,요리주점|카페베트로|제주특별자치도 서귀포시 안덕면 신화역사로304번길 98|064-908-1261|,
호프,요리주점|함지박|제주특별자치도 서귀포시 중정로91번길 16|064-732-3515|,
호프,요리주점|다소니|제주특별자치도 서귀포시 중문상로 40 2층|064-738-0702|,
실내포장마차|항공모함 감성포차주점|제주특별자치도 서귀포시 명동로 14|064-762-9798|,,
와인바|새로고침|제주특별자치도 서귀포시 성산읍 신고로22번길 34||,,
호프,요리주점|오십바|제주특별자치도 서귀포시 솔동산로22번길 8|064-733-5388|,
호프,요리주점|빈스가게|제주특별자치도 서귀포시 표선면 표선동서로 240-1|064-904-1277|,
술집|그로토바|제주특별자치도 서귀포시 중문관광로72번길 114|064-735-8232|,,
호프,요리주점|노가리앤비어 강정점|제주특별자치도 서귀포시 대청로 39 201호|070-4175-1982|,
분류|이름|주소|전화번호|대표사진주소,,
일본식주점|미친부엌|제주특별자치도 제주시 탑동로 15 1,2층|064-721-6382|,
일본식주점|닻|제주특별자치도 제주시 애월읍 하귀2리 2726|070-4147-2154|,,
호프,요리주점|싱싱잇|제주특별자치도 제주시 한림읍 한림로 181||,
호프,요리주점|동백별장|제주특별자치도 제주시 원노형3길 44|010-8885-7876|,
일본식주점|가치|제주특별자치도 제주시 동한두기길 17 1층|010-8477-5945|,,
호프,요리주점|맥파이 블루버드|제주특별자치도 제주시 탑동로2길 7 1,2층|064-722-2849|
호프,요리주점|정대|제주특별자치도 제주시 서광로32길 29-1 2층||,
일본식주점|청담이상 신제주점|제주특별자치도 제주시 원노형로 66 1층|064-712-4500|,,
일본식주점|우미노식탁|제주특별자치도 제주시 애월읍 금성5길 42-24|064-799-1343|,,
호프,요리주점|달사막|제주특별자치도 제주시 조천읍 함덕로 26 1층||,
와인바|인디안썸머|제주특별자치도 제주시 애월읍 애월로4길 9|064-799-8444|,,
일본식주점|이자카야달|제주특별자치도 제주시 애월읍 가문동길 27-8|064-745-6009|,,
일본식주점|마이도|제주특별자치도 제주시 은남2길 35 1층|064-747-7972|,,
술집|브루클린 제주|제주특별자치도 제주시 애월읍 신엄연대길 30|064-799-1242|,,
일본식주점|심야식당 코나카|제주특별자치도 제주시 인다14길 28-12|010-6255-4665|,,
호프,요리주점|화산2020|제주특별자치도 제주시 흥운길 85 1층|064-803-0332|,
일본식주점|김씨술생활 제주협재점|제주특별자치도 제주시 한림읍 한림로 406 2층|010-9911-2583|,,
일본식주점|탐라요정|제주특별자치도 제주시 광양10길 21|010-6789-4867|,,
와인바|오늘와인한잔 연동점|제주특별자치도 제주시 신대로16길 44 1층|064-743-1912|,,
일본식주점|담이자카야|제주특별자치도 제주시 연동4길 36 뜨레모아9차아파트상가 1층|064-747-7910|,,
일본식주점|0626와흘|제주특별자치도 제주시 조천읍 와흘상서1길 4|010-7121-0626|,,
일본식주점|더 시그니처 이자카야|제주특별자치도 제주시 신광로 47 2층|0507-1359-6635|,,
실내포장마차|원님네포장마차|제주특별자치도 제주시 신대로10길 35|064-711-5080|,,
호프,요리주점|빨간집 본점|제주특별자치도 제주시 광양13길 7 1층|064-723-1173|,
호프,요리주점|오지하우스호주식당|제주특별자치도 제주시 광양10길 26|064-757-8253|,
호프,요리주점|느루온|제주특별자치도 제주시 신설로9길 33 지하1층|010-3691-6749|,
일본식주점|현|제주특별자치도 제주시 신형로 23 우주빌빌딩 2층|064-711-3600|,,
호프,요리주점|언플러그|제주특별자치도 제주시 해안마을길 43 지하1층||,
호프,요리주점|금능반지하|제주특별자치도 제주시 한림읍 금능9길 30 1층|010-6569-4337|,
호프,요리주점|올댓제주|제주특별자치도 제주시 중앙로1길 33|064-901-7893|,
호프,요리주점|역전할머니맥주 제주시청점|제주특별자치도 제주시 광양8길 4|064-752-7577|,
호프,요리주점|노가리앤비어 도남점|제주특별자치도 제주시 신성로10길 1||,
칵테일바|탱테일|제주특별자치도 제주시 원노형5길 19 1층 102호|010-4512-2555|,,
와인바|빅 디어|제주특별자치도 제주시 신성로12길 2 1층|010-8612-0465|,,
일본식주점|가로수길마루|제주특별자치도 제주시 애월읍 애월로 11|064-799-2929|,,
일본식주점|빗소리|제주특별자치도 제주시 구좌읍 김녕로 151||,,
일본식주점|술시|제주특별자치도 제주시 한림읍 협재2길 12 1층|010-2034-5765|,,
술집|더부즈 제주|제주특별자치도 제주시 노형11길 5-4|064-747-0045|,,
일본식주점|스나쿠타카|제주특별자치도 제주시 애월읍 일주서로 7063|064-711-7063|,,
와인바|바코|제주특별자치도 제주시 조천읍 선진길 83|064-782-6668|,,
술집|빨간집 제원점|제주특별자치도 제주시 신대로16길 51|064-727-8828|,,
호프,요리주점|소앵븟|제주특별자치도 제주시 우정로8길 6 탐라하이츠빌 지하1층|070-4647-4699|,
일본식주점|월령작야달의객잔|제주특별자치도 제주시 한림읍 월령3길 39-5 푸르다오션펜션 1층|010-8593-9976|,,
실내포장마차|노형포차|제주특별자치도 제주시 다랑곶5길 9 1층|064-747-7798|,,
호프,요리주점|십오야|제주특별자치도 제주시 조천읍 신북로 506|010-4129-0866|,
와인바|20세기 소년|제주특별자치도 제주시 동광로1길 2 1층|064-759-4451|,,
호프,요리주점|역전할머니맥주 연동점|제주특별자치도 제주시 노연로 108 1층|064-742-9800|,
호프,요리주점|야해|제주특별자치도 제주시 노형11길 6 1층|064-746-7883|,
호프,요리주점|스톤아일랜드 탭하우스|제주특별자치도 제주시 삼무로7길 16 1층||,
호프,요리주점|제주 귀덕 골방|제주특별자치도 제주시 한림읍 귀덕5길 33 1층 102호|0507-1341-3614|,
와인바|옐로우돕|제주특별자치도 제주시 고마로16길 9||,,
호프,요리주점|쿠주|제주특별자치도 제주시 서광로32길 26-4 1층|064-721-3336|,
실내포장마차|목수포차|제주특별자치도 제주시 애월읍 고내북동길 51-22|064-799-2080|,,
호프,요리주점|1943|제주특별자치도 제주시 연동7길 38||,
호프,요리주점|무시로|제주특별자치도 제주시 서광로32길 28-1 2층||,
호프,요리주점|역전할머니맥주노형점|제주특별자치도 제주시 연북로 45|064-749-0099|,
호프,요리주점|곽지BAR다|제주특별자치도 제주시 애월읍 곽지1길 18 1층||,
호프,요리주점|마담나탈리소셜클럽|제주특별자치도 제주시 한림읍 옹포2길 10||,
호프,요리주점|협재1번가|제주특별자치도 제주시 한림읍 협재1길 1 1층|010-4510-4458|,
칵테일바|말렛|제주특별자치도 제주시 노형11길 6 1층|0507-1408-7890|,,
실내포장마차|1970새마을포차 제주연동점|제주특별자치도 제주시 연동7길 38 2층||,,
와인바|스크루지펍|제주특별자치도 제주시 국기로 44|070-8754-0001|,,
호프,요리주점|김녕회관|제주특별자치도 제주시 구좌읍 김녕로 170|010-9398-8746|,
호프,요리주점|우미관|제주특별자치도 제주시 서광로32길 40-1||,
술집|애파소|제주특별자치도 제주시 애월읍 애월로 118 2층|064-799-0804|,,
호프,요리주점|함덕487|제주특별자치도 제주시 조천읍 신북로 487 1층|064-782-0487|,
호프,요리주점|오늘술집주다방 제주연동점|제주특별자치도 제주시 신대로16길 52||,
일본식주점|이자까야 숲|제주특별자치도 제주시 신광로 59 2층|064-744-1684|,,
술집|일도가공|제주특별자치도 제주시 관덕로15길 9 1층|070-4647-1543|,,
와인바|라비에|제주특별자치도 제주시 신성로13길 17||,,
와인바|수리코|제주특별자치도 제주시 한경면 조수설목1길 8||,,
호프,요리주점|제주주당|제주특별자치도 제주시 동광로17길 3 1층|064-901-6063|,
호프,요리주점|주민상회 제주노형점|제주특별자치도 제주시 다랑곶2길 12||,
호프,요리주점|에스토에스디네로|제주특별자치도 제주시 구남로2길 32 1층|010-4339-6751|,
와인바|내도음악상가|제주특별자치도 제주시 테우해안로 106 2층|0507-1338-9262|,,
호프,요리주점|주력|제주특별자치도 제주시 서광로32길 16 1층||,
호프,요리주점|호랑이|제주특별자치도 제주시 조천읍 신북로 506|010-9518-1611|,
일본식주점|타니|제주특별자치도 제주시 신설로 40-11 1층||,,
호프,요리주점|짙은|제주특별자치도 제주시 도남로 46||,
호프,요리주점|괜찮은술책|제주특별자치도 제주시 구좌읍 종달로 60-12 1층||,
실내포장마차|한신포차 제주연동점|제주특별자치도 제주시 신대로16길 49|064-747-1192|,,
일본식주점|기분|제주특별자치도 제주시 만덕로 9 1층|010-5440-5659|,,
술집|빨간집 연동점|제주특별자치도 제주시 신대로 126|064-747-7675|,,
호프,요리주점|빨간집 아라점|제주특별자치도 제주시 중앙로 556|064-726-1378|,
칵테일바|정글북바이앨리스|제주특별자치도 제주시 노연로 80 메종글래드 제주 2층|064-710-8246|,,
칵테일바|제주탑동골목|제주특별자치도 제주시 중앙로5길 13 1층|0507-1309-6417|,,
일본식주점|단또|제주특별자치도 제주시 신성로13길 32 1층단또|064-901-9131|,,
칵테일바|파라디스코 레트로퓨처|제주특별자치도 제주시 광양8길 17 1층||,,
술집|미술집|제주특별자치도 제주시 원노형10길 32 1층|010-4810-6435|,,
와인바|오늘와인한잔 노형점|제주특별자치도 제주시 원노형남1길 24|064-745-3200|,,
실내포장마차|뻐꾸기 제주점|제주특별자치도 제주시 신성로13길 1|064-751-9995|,,
술집|더문|제주특별자치도 제주시 신대로16길 51|064-713-0607|,,
실내포장마차|성두길15포차|제주특별자치도 제주시 성두길 15 1층||,,
호프,요리주점|맵수다 노형점|제주특별자치도 제주시 월랑로 48|064-749-3355|,
일본식주점|김씨술생활 제주함덕점|제주특별자치도 제주시 조천읍 함덕19길 7 3층|010-9443-5287|,,
실내포장마차|애월포차|제주특별자치도 제주시 애월읍 곽지9길 23 3층||,,
칵테일바|아일랜드스톤|제주특별자치도 제주시 신성로13길 15|064-900-5486|,,
일본식주점|다미야|제주특별자치도 제주시 원노형6길 24|064-711-9253|,,
호프,요리주점|혜안|제주특별자치도 제주시 해안마을10길 39 1층|064-743-0838|,
호프,요리주점|제주사자|제주특별자치도 제주시 도남로17길 21||,
오뎅바|간또 제주본점|제주특별자치도 제주시 연동7길 19|064-744-0901|,,
실내포장마차|고래밥|제주특별자치도 제주시 애월읍 애월로 93-1||,,
