분류,이름,주소,전화번호,대표사진주소
관광농원,하례감귤체험농장,제주특별자치도 서귀포시 남원읍 중산간동로 6596-3,011-699-4755,
문화유적,위미동백나무군락,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 23-7,,
테마파크,소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,064-793-5400,
숲,곶자왈,제주특별자치도 서귀포시 대정읍 에듀시티로 178,,
"해수욕장,해변",화순금모래해수욕장,제주특별자치도 서귀포시 안덕면 화순해안로 69,064-760-4991,
연못,혼인지,제주특별자치도 서귀포시 성산읍 혼인지로 39-22,064-710-6798,
"해수욕장,해변",논짓물해변,제주특별자치도 서귀포시 하예동,,
계곡,엉덩물계곡,제주특별자치도 서귀포시 색달동 3384-4,,
자연휴양림,붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,064-782-9171,
올레길,서광동리곶자왈생태탐방로,제주특별자치도 서귀포시 안덕면 서광리 산 6,,
테마파크,제주코코몽에코파크 (휴업중),제주특별자치도 서귀포시 남원읍 태위로 536,1661-4284,
테마파크,다이나믹메이즈 제주도성읍점,제주특별자치도 서귀포시 표선면 번영로 2644,064-787-8774,
테마파크,파더스가든,제주특별자치도 서귀포시 안덕면 병악로 44-33,070-8861-8899,
"관광,명소",황우지선녀탕,제주특별자치도 서귀포시 서홍동,,
유원지,돈내코유원지,제주특별자치도 서귀포시 돈내코로 114,064-733-1584,
관광안내소,머체왓숲길 방문객지원센터,제주특별자치도 서귀포시 남원읍 서성로 755,064-805-3113,
관광안내소,제주올레여행자센터,제주특별자치도 서귀포시 중정로 22,064-762-2167,
테마파크,일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,064-784-2080,
테마파크,신화테마파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98,1670-1188,
호수,백록담,제주특별자치도 서귀포시 토평동 산 15-1,,
드라이브코스,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리,,
산,한라산,제주특별자치도 서귀포시 서홍동 산 1-1,,
문화유적,알뜨르비행장,제주특별자치도 서귀포시 대정읍 상모리 1670,,
드라이브코스,제주유채꽃도로,제주특별자치도 서귀포시 표선면 가시리,,
테마파크,세리월드,제주특별자치도 서귀포시 법환상로2번길 97-17,064-739-8254,
"관광,명소",속골,제주특별자치도 서귀포시 서홍동,,
관광안내소,사려니숲길 관광안내소,제주특별자치도 서귀포시 표선면 가시리 산 158,064-900-8800,
"관광,명소",산방산유채꽃밭,제주특별자치도 서귀포시 안덕면 사계리,,
오름,영주산,제주특별자치도 서귀포시 표선면 성읍리 산 18-1,,
관광농원,최남단체험감귤농장,제주특별자치도 서귀포시 남원읍 남위남성로 164,064-764-7759,
테마파크,성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650,,
폭포,소정방폭포,제주특별자치도 서귀포시 토평동,,
산,고근산,제주특별자치도 서귀포시 서호동 1286-1,,
테마파크,물의도시 베니스랜드,제주특별자치도 서귀포시 성산읍 서성일로 474,064-784-6565,
오름,사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,,
"해수욕장,해변",신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 88,064-760-4990,
"관광,명소",갯깍주상절리대,제주특별자치도 서귀포시 색달동,,
,한남리머체왓숲길,,,
오름,붉은오름,제주특별자치도 서귀포시 표선면 가시리 산 158,,
"관광,명소",유채꽃밭,제주특별자치도 서귀포시 성산읍 고성리,,
"해수욕장,해변",하효쇠소깍해변,제주특별자치도 서귀포시 하효동 997-3,,
도보여행,월평마을 아왜낭목 쉼터,제주특별자치도 서귀포시 월평동 738,,
"해수욕장,해변",하모해수욕장,제주특별자치도 서귀포시 대정읍 하모리,064-760-4083,
관광안내소,주상절리관광안내소,제주특별자치도 서귀포시 이어도로 36-30,,
"관광,명소",안성리 수국길,제주특별자치도 서귀포시 대정읍 안성리 995-1,,
도보여행,고살리숲길,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,,
계곡,돈내코계곡,제주특별자치도 서귀포시 돈내코로 137,,
관광농원,설록다원도순,제주특별자치도 서귀포시 중산간서로356번길 152-41,,
둘레길,한라산둘레길 수악길,제주특별자치도 서귀포시 남원읍 하례리 산 10-12,,
"관광,명소",짱구네 유채꽃밭,제주특별자치도 서귀포시 성산읍 수산리 1021,,
"관광,명소",제주올레 7코스 여행자센터,제주특별자치도 서귀포시 중정로 22,064-762-2167,
"관광,명소",제주동백마을,제주특별자치도 서귀포시 남원읍 한신로531번길 22-1,064-764-8756,
숲,화순 곶자왈생태탐방숲길,제주특별자치도 서귀포시 안덕면 화순리,,
유적지,추사유배지,제주특별자치도 서귀포시 대정읍 추사로 44,,
하천,강정천,제주특별자치도 서귀포시 강정동 5647,,
숲,사려니숲,제주특별자치도 서귀포시 남원읍 수망리,,
전망대,솔오름전망대,제주특별자치도 서귀포시 동홍동 2150-1,,
바위,큰엉,제주특별자치도 서귀포시 남원읍 남원리,,
테마거리,보롬왓수국길,제주특별자치도 서귀포시 표선면 성읍리,,
테마파크,오늘은카트레이싱,제주특별자치도 서귀포시 표선면 중산간동로 4776,064-787-9990,
오름,이승이오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,,
천문대,서귀포천문과학문화관,제주특별자치도 서귀포시 1100로 506-1,064-739-9701,
"관광,명소",갯깍주상절리,제주특별자치도 서귀포시 색달동 2101,,
테마파크,액트몬 제주중문점,제주특별자치도 서귀포시 중문관광로 205,,
관광안내소,제주올레1코스 공식안내소,제주특별자치도 서귀포시 성산읍 시흥상동로53번길 88-46,070-4152-1750,
"해수욕장,해변",소금막해변,제주특별자치도 서귀포시 표선면 표선리,,
숲,위미동백나무군락,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 15,,
테마파크시설,휘닉스제주섭지코지 글라스하우스,제주특별자치도 서귀포시 성산읍 고성리 46,,
오름,두산봉,제주특별자치도 서귀포시 성산읍 시흥리 2661,,
오름,제지기오름,제주특별자치도 서귀포시 보목동 275-1,,
오름,베릿내오름,제주특별자치도 서귀포시 중문동 3712,,
섬,새섬,제주특별자치도 서귀포시 서귀동 산 3-2,,
"수목원,식물원",제주커피수목원,제주특별자치도 서귀포시 안덕면 사계리 3136,064-792-5554,
"생태보존,서식지",1100고지습지 람사르습지,제주특별자치도 서귀포시 색달동 산 1-1,064-713-9950,
관광농원,트로이테마농원,제주특별자치도 서귀포시 안덕면 녹차분재로 56,064-792-8625,
전망대,외돌개 전망대,제주특별자치도 서귀포시 서홍동 794-11,,
촬영지,쉬리의언덕,제주특별자치도 서귀포시 색달동 3039-41,,
전망대,송악산전망대,제주특별자치도 서귀포시 대정읍 상모리 2-13,,
둘레길,녹산로,제주특별자치도 서귀포시 표선면 가시리,,
오름,윗세오름,제주특별자치도 서귀포시 서호동 산 1-1,,
오름,단산,제주특별자치도 서귀포시 대정읍 인성리 21-2,,
테마파크,산방산랜드,제주특별자치도 서귀포시 안덕면 사계리 117-2,064-794-1425,
테마파크,다이노대발이파크 (휴업중),제주특별자치도 서귀포시 남원읍 태위로 536,064-764-0002,
"관광,명소",화순곶자왈,제주특별자치도 서귀포시 안덕면 화순리,,
오름,한라산 웃세붉은오름,제주특별자치도 서귀포시 서호동 산 183-1,,
테마파크,마린파크,제주특별자치도 서귀포시 안덕면 화순중앙로 132,064-792-7775,
오름,왕이메,제주특별자치도 서귀포시 안덕면 광평리 산 79,,
동굴,송악산진지동굴,제주특별자치도 서귀포시 대정읍 상모리,,
동굴,일출랜드 미천굴,제주특별자치도 서귀포시 성산읍 삼달리 1010,064-784-2082,
테마파크,토이파크,제주특별자치도 서귀포시 안덕면 동광로 267-7,064-794-0333,
오름,대록산,제주특별자치도 서귀포시 표선면 가시리 산 68-9,,
오름,섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1593-2,,
워터테마파크,신화워터파크,제주특별자치도 서귀포시 안덕면 서광리 산 24,1670-1188,
유원지,강정천유원지,제주특별자치도 서귀포시 강정동,,
오름,대수산봉,제주특별자치도 서귀포시 성산읍 고성리 2039-1,,
저수지,수산한못,제주특별자치도 서귀포시 성산읍 수산리 3990,,
도립공원,성산일출해양도립공원,제주특별자치도 서귀포시 성산읍 성산리,064-783-0959,
문화유적,무오법정사 항일운동발상지,제주특별자치도 서귀포시 1100로 740-168,064-760-3577,
"관광,명소",태웃개,제주특별자치도 서귀포시 남원읍 위미리 69,,
동굴,황우지해안열두굴,제주특별자치도 서귀포시 서홍동 764-1,,
"관광,명소",돔베낭골,제주특별자치도 서귀포시 호근동,,
"관광,명소",가시리 국산화 풍력발전단지,제주특별자치도 서귀포시 표선면 녹산로 464-78,,
관광안내소,제주올레10코스 공식안내소,제주특별자치도 서귀포시 안덕면 화순해안로 87,070-4152-1754,
전망대,거린사슴 전망대,제주특별자치도 서귀포시 1100로 823,,
오름,식산봉,제주특별자치도 서귀포시 성산읍 오조리 313,,
방조제,영락리 방파제,제주특별자치도 서귀포시 대정읍 무릉리 3783-3,,
산봉우리,삼매봉,제주특별자치도 서귀포시 서홍동 819,,
"관광,명소",진곶내 (폐쇄),제주특별자치도 서귀포시 월평동 727-2,,
"관광,명소",도구리알,제주특별자치도 서귀포시 대정읍,,
자전거여행,법환바당 인증센터,제주특별자치도 서귀포시 막숙포로 61,,
테마파크,중문미로파크,제주특별자치도 서귀포시 일주서로 1225-5,064-738-0667,
"관광,명소",위미리수국길,제주특별자치도 서귀포시 남원읍 위미리 668-4,,
문화유적,알뜨르비행장 일제지하벙커,제주특별자치도 서귀포시 대정읍 상모리 1670,,
관광농원,산물관광농원,제주특별자치도 서귀포시 남원읍 하례로 90,,
워터테마파크,제주워터월드,제주특별자치도 서귀포시 월드컵로 33,064-739-1930,
드라이브코스,5.16도로,제주특별자치도 서귀포시 남원읍 신례리,,
도보여행,올레요7쉼터,제주특별자치도 서귀포시 이어도로 826-86,064-763-8084,
호수,한라산사라오름 산정호수,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,,
전망대,중문관광단지 별내린전망대,제주특별자치도 서귀포시 색달동 2938-1,,
관광안내소,한라산 정상안내소,제주특별자치도 서귀포시 상효동,,
고개,추억의숲길,제주특별자치도 서귀포시 호근동 산 5-1,,
관광안내소,제주올레11코스 공식안내소,제주특별자치도 서귀포시 대정읍 하모리 2140,070-4152-8138,
"해수욕장,해변",황우치해변,제주특별자치도 서귀포시 안덕면 사계리 79-4,,
오름,월라봉,제주특별자치도 서귀포시 안덕면 감산리 1144,,
촬영지,커피프렌즈 촬영지,제주특별자치도 서귀포시 안덕면 서광리 1791-1,064-794-9891,
숲,제주동백마을숲,제주특별자치도 서귀포시 남원읍 신흥리 1599-1,064-764-8756,
드라이브코스,보목해안도로,제주특별자치도 서귀포시 보목동,,
"향교,서당",대정향교,제주특별자치도 서귀포시 안덕면 향교로 165-17,,
테마파크,제주루지테마파크,제주특별자치도 서귀포시 안덕면 서광리 717-3,,
,한라산국립공원 돈내코탐방로,,,
자전거여행,성산일출봉 인증센터,제주특별자치도 서귀포시 성산읍 오조리 2-3,,
"관광,명소",사계리수국길,제주특별자치도 서귀포시 안덕면 사계리,,
관광안내소,치유의숲 방문자센터,제주특별자치도 서귀포시 산록남로 2271,,
관광안내소,제주올레4코스 공식안내소,제주특별자치도 서귀포시 표선면 민속해안로 587,070-4152-1751,
자연휴양림,제주시험림,제주특별자치도 서귀포시 남원읍 서성로651번길 235,,
,한라산둘레길 동백길,,,
도보여행,고근산 산책로,제주특별자치도 서귀포시 서호동 1286-1,,
,한라산둘레길 돌오름길,,,
섬,형제섬,제주특별자치도 서귀포시 안덕면 사계리,,
섬,서건도,제주특별자치도 서귀포시 강정동 산 1,,
오름,원물오름,제주특별자치도 서귀포시 안덕면 동광리 산 41,,
오름,붉은오름,제주특별자치도 서귀포시 성산읍 섭지코지로 261,,
관광안내소,제주올레5코스 공식안내소,제주특별자치도 서귀포시 남원읍 남태해안로 140,070-4152-1752,
자전거여행,쇠소깍 인증센터,제주특별자치도 서귀포시 하효동 995-4,,
숲,수망리 마흐니숲길,제주특별자치도 서귀포시 남원읍 수망리 산 203,,
드라이브코스,열리해안도로,제주특별자치도 서귀포시 하예동,,
"도자기,도예촌",산경도예,제주특별자치도 서귀포시 대정읍 서삼중로 232,064-792-5882,
폭포,개다리폭포,제주특별자치도 서귀포시 색달동 3101-1,,
관광안내소,중문관광단지안내소,제주특별자치도 서귀포시 중문관광로 38,064-739-1330,
드라이브코스,표선해안도로,제주특별자치도 서귀포시 표선면 표선리,,
테마파크,제주거울미로 이상한나라의 앨리스,제주특별자치도 서귀포시 안덕면 중산간서로 1881,064-794-4700,
먹자골목,아랑조을거리,제주특별자치도 서귀포시 서귀동 306-2,,
자전거여행,송악산 인증센터,제주특별자치도 서귀포시 대정읍 상모리 157-2,,
온천,아라고나이트 고온천,제주특별자치도 서귀포시 안덕면 산록남로762번길 71 디아넥스 1층,064-792-5200,
도보여행,시흥초등학교 제주올레1코스 표지석,제주특별자치도 서귀포시 성산읍 시흥리 2644,,
"해수욕장,해변",우뭇개해안,제주특별자치도 서귀포시 성산읍 성산리,,
도립공원,서귀포해양도립공원,제주특별자치도 서귀포시 서홍동 718-1,,
국립공원,한라산국립공원,제주특별자치도 제주시 오등동 산 182,064-713-9950,
오름,매오름,제주특별자치도 서귀포시 표선면 세화리 산 7,,
"관광,명소",영락해안도로,제주특별자치도 서귀포시 대정읍 일과리,,
오름,모슬봉,제주특별자치도 서귀포시 대정읍 동일리 2081-3,,
테마파크시설,세리월드 카트레이싱,제주특별자치도 서귀포시 법환동 881-2,064-739-8254,
"해수욕장,해변",광치기중간,제주특별자치도 서귀포시 성산읍 고성리,,
"관광,명소",한라산영실,제주특별자치도 서귀포시 도순동 산 1,064-747-9950,
,갑마장길및가름질 쫄븐갑마장길,,,
섬,범섬,제주특별자치도 서귀포시 법환동,,
오름,영아리,제주특별자치도 서귀포시 안덕면 상천리 산 24,,
둘레길,산방산둘레길,제주특별자치도 서귀포시 대정읍 상모리,,
"해수욕장,해변",수마포해안,제주특별자치도 서귀포시 성산읍 성산리,,
드라이브코스,고산일과해안도로,제주특별자치도 서귀포시 대정읍 신도리,,
"수목원,식물원",제주여미지식물원매표소,제주특별자치도 서귀포시 색달동 2484-1,,
관광안내소,제주곶자왈도립공원 탐방안내소,제주특별자치도 서귀포시 대정읍 에듀시티로 178,,
"관광,명소",박수기정 잔디밭,제주특별자치도 서귀포시 안덕면 감산리 1050,,
숲,국립산림과학원 난대아열대산림연구소 한남연구시험림,제주특별자치도 서귀포시 남원읍 서성로651번길 235,070-4253-1100,
관광안내소,하논분화구 방문자센터,제주특별자치도 서귀포시 일주동로 8823,064-733-2912,
산,미악산,제주특별자치도 서귀포시 동홍동 2195,,
자전거여행,표선해변 인증센터,제주특별자치도 서귀포시 표선면 표선리 44-4,,
오름,남송이오름,제주특별자치도 서귀포시 안덕면 서광리 산 31,,
"관광,명소",법환어촌계해녀체험센터,제주특별자치도 서귀포시 최영로 10,064-739-1232,
"탑,비석",정난주마리아묘,제주특별자치도 서귀포시 대정읍 동일리 10-1,,
문화유적,대정성지,제주특별자치도 서귀포시 대정읍 보성리,,
"관광,명소",성산해안도로,제주특별자치도 서귀포시 성산읍 성산리,,
"도자기,도예촌",성지도예,제주특별자치도 서귀포시 표선면 성읍이리로 85,064-787-2773,
테마파크,가시리 조랑말체험장,제주특별자치도 서귀포시 표선면 가시리 산 54-2,064-787-0960,
관광농원,신화가든,제주특별자치도 서귀포시 안덕면 서광리 산 24-8,,
오름,사려니,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,,
"생가,고택",이중섭거주지,제주특별자치도 서귀포시 이중섭로 29,,
오름,거린사슴,제주특별자치도 서귀포시 대포동 산 2-1,,
문화유적,제주송악산외륜 일제동굴진지,제주특별자치도 서귀포시 대정읍 상모리 186-1,,
"관광,명소",팜파스군락지,제주특별자치도 서귀포시 표선면 성읍리 310,,
동굴,진지동굴,제주특별자치도 서귀포시 안덕면 감산리 1162,,
오름,시오름,제주특별자치도 서귀포시 서호동 산 1,,
먹자골목,칠십리음식특화거리,제주특별자치도 서귀포시 서귀동 93-9,,
오름,자배봉,제주특별자치도 서귀포시 남원읍 위미리 산 132-2,,
"관광,명소",소남머리,제주특별자치도 서귀포시 송산동,,
오름,당오름,제주특별자치도 서귀포시 안덕면 동광리 산 68-1,,
숲,동백동산,제주특별자치도 서귀포시 안덕면 광평리 산 97,,
"관광,명소",강정해오름노을길,제주특별자치도 서귀포시 강정동 4655-1,064-739-2067,
숲,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,064-900-8800,
오름,우보악,제주특별자치도 서귀포시 색달동 912-1,,
오름,개오름,제주특별자치도 서귀포시 표선면 성읍리 2974,,
"탑,비석",하멜기념비,제주특별자치도 서귀포시 안덕면 사계리 112-3,064-760-6304,
자연휴양림,한남시험림탐방,제주특별자치도 서귀포시 남원읍 서성로651번길 235,,
워터테마파크,금호리조트 제주아쿠아나,제주특별자치도 서귀포시 남원읍 태위로 522-12,064-766-8021,
관광농원,제주테마농원,제주특별자치도 서귀포시 일주서로 686,,
바위,색달해안갯깍 주상절리대,제주특별자치도 서귀포시 색달동,,
카지노,제주신화월드 랜딩카지노,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 지하2층,064-908-8880,
섬,섶섬,제주특별자치도 서귀포시 보목동,,
,한라산국립공원 관음사탐방로,,,
"해수욕장,해변",설쿰바당,제주특별자치도 서귀포시 안덕면 사계리,,
산봉우리,월라봉,제주특별자치도 서귀포시 신효동 1179-4,,
오름,모슬봉정상,제주특별자치도 서귀포시 대정읍 보성리 2136-1,,
숲,신평곶자왈,제주특별자치도 서귀포시 대정읍 신평리,,
도보여행,겹동백길,제주특별자치도 서귀포시 안덕면 광평리 349,,
관광농원,동백나무숲,제주특별자치도 서귀포시 남원읍 위미리 3760,,
"관광,명소",선녀코지,제주특별자치도 서귀포시 강정동 5622,,
"생태보존,서식지",무릉곶자왈,제주특별자치도 서귀포시 대정읍 무릉리 산 1,,
워터테마파크,남원용암해수풀장,제주특별자치도 서귀포시 남원읍 남태해안로 140,,
오름,영천악,제주특별자치도 서귀포시 상효동 2364,,
관광농원,제주향농원,제주특별자치도 서귀포시 일주서로 661,064-738-6776,
오름,어승생,제주특별자치도 제주시 해안동 산 220-12,064-713-9952,
봉수대,대포연대,제주특별자치도 서귀포시 대포동 2506,,
드라이브코스,일과리해안도로,제주특별자치도 서귀포시 대정읍 일과리,,
오름,각시바위,제주특별자치도 서귀포시 호근동 2112,,
관광안내소,한라산 성판악탐방안내소,제주특별자치도 제주시 조천읍 516로 1865,,
"관광,명소",정모시쉼터,제주특별자치도 서귀포시 서귀동 962,,
유적지,제주4.3 안덕 평화공원,제주특별자치도 서귀포시 안덕면 사계리 3630,,
유적지,잃어버린 마을 무등이왓,제주특별자치도 서귀포시 안덕면 동광리 226,,
저수지,성읍저수지,제주특별자치도 서귀포시 표선면 성읍리,,
"관광,명소",남제주억새오름길,제주특별자치도 서귀포시 성산읍 수산리,,
동굴,들렁궤,제주특별자치도 서귀포시 색달동,,
도보여행,신풍신천 바다목장길,제주특별자치도 서귀포시 성산읍 신풍리 29,,
"생태보존,서식지",제주농업생태원,제주특별자치도 서귀포시 남원읍 중산간동로 7361-13,,
테마파크시설,휘닉스제주섭지코지 바람의언덕,제주특별자치도 서귀포시 성산읍 고성리 48,,
오름,수악,제주특별자치도 서귀포시 남원읍 하례리 산 10-12,,
드라이브코스,신양신산해안도로,제주특별자치도 서귀포시 성산읍 고성리,,
관광안내소,제주올레 7-1코스 공식안내소,제주특별자치도 서귀포시 일주동로 9217,070-4152-1753,
오름,모구리오름,제주특별자치도 서귀포시 성산읍 난산리 2960-1,,
봉수대,산방연대,제주특별자치도 서귀포시 안덕면 사계리 산 33-2,,
"산성,성곽",신산환해장성,제주특별자치도 서귀포시 성산읍 신산리 49-5,,
오름,썩은다리,제주특별자치도 서귀포시 안덕면 화순리 1913,,
둘레길,한라산둘레길 목장길,제주특별자치도 서귀포시 남원읍 한남리,,
오름,설오름,제주특별자치도 서귀포시 신효동 1028,,
숲,한라생태숲,제주특별자치도 제주시 516로 2596,064-710-8688,
오름,낭끼오름,제주특별자치도 서귀포시 성산읍 수산리 3954,,
오름,보름이,제주특별자치도 서귀포시 서홍동 968-1,,
오름,돌오름,제주특별자치도 서귀포시 안덕면 상천리 산 1,,
폭포,어위폭포,제주특별자치도 서귀포시 표선면 토산리 2058,,
관광안내소,동백마을방문자센터,제주특별자치도 서귀포시 남원읍 한신로531번길 22-1,064-764-8756,
유적지,큰넓궤,제주특별자치도 서귀포시 안덕면 동광리 산 90,,
오름,통오름,제주특별자치도 서귀포시 성산읍 난산리 1976-1,,
오름,칡오름,제주특별자치도 서귀포시 상효동 2308-1,,
"관광,명소",우도성산유람선,제주특별자치도 서귀포시 성산읍 성산등용로 130-21,,
오름,토산봉,제주특별자치도 서귀포시 표선면 토산리 산 13,,
봉수대,서림연대,제주특별자치도 서귀포시 대정읍 일과대수로27번길 53-1,,
관광농원,엉또돌다카페농원,제주특별자치도 서귀포시 월산로 30,,
오름,마보기,제주특별자치도 서귀포시 안덕면 상천리 산 83,,
"관광,명소",넙빌레,제주특별자치도 서귀포시 남원읍 위미리,,
유원지,천지연유원지,제주특별자치도 서귀포시 남성중로 2-15,,
관광안내소,한라산둘레길 안내센터,제주특별자치도 서귀포시 도순동 산 1,064-738-4280,
"산성,성곽",온평환해장성 제1지점,제주특별자치도 서귀포시 성산읍 온평리 66-2,,
오름,가세오름,제주특별자치도 서귀포시 표선면 토산리 산 5,,
오름,모지오름,제주특별자치도 서귀포시 표선면 성읍리 산 22,,
관광안내소,혼인지마을종합센터,제주특별자치도 서귀포시 성산읍 온평리 956,,
"관광,명소",용월담장,제주특별자치도 서귀포시 하효동 550-1,,
유적지,정방폭포와 소남머리 일대,제주특별자치도 서귀포시 칠십리로 156-8,,
오름,좌보미,제주특별자치도 서귀포시 표선면 성읍리 산 6,,
계곡,안덕계곡상록수림,제주특별자치도 서귀포시 안덕면 감산리,,
오름,대병악,제주특별자치도 서귀포시 안덕면 상창리 산 2-1,,
문화유적,알뜨르비행장 급수탑,제주특별자치도 서귀포시 대정읍 상모리 1670,,
계곡,수악계곡,제주특별자치도 서귀포시 남원읍 신례리,,
,작가의산책길,,,
유적지,서귀진지,제주특별자치도 서귀포시 서귀동 717-1,,
