테마파크|파더스가든|제주특별자치도 서귀포시 안덕면 병악로 44-33|070-8861-8899|,,
관광,명소|황우지선녀탕|제주특별자치도 서귀포시 서홍동||,
유원지|돈내코유원지|제주특별자치도 서귀포시 돈내코로 114|064-733-1584|,,
관광안내소|머체왓숲길 방문객지원센터|제주특별자치도 서귀포시 남원읍 서성로 755|064-805-3113|,,
관광안내소|제주올레여행자센터|제주특별자치도 서귀포시 중정로 22|064-762-2167|,,
테마파크|일출랜드|제주특별자치도 서귀포시 성산읍 중산간동로 4150-30|064-784-2080|,,
테마파크|신화테마파크|제주특별자치도 서귀포시 안덕면 신화역사로304번길 98|1670-1188|,,
호수|백록담|제주특별자치도 서귀포시 토평동 산 15-1||,,
드라이브코스|5.16도로숲터널|제주특별자치도 서귀포시 남원읍 신례리||,,
산|한라산|제주특별자치도 서귀포시 서홍동 산 1-1||,,
문화유적|알뜨르비행장|제주특별자치도 서귀포시 대정읍 상모리 1670||,,
드라이브코스|제주유채꽃도로|제주특별자치도 서귀포시 표선면 가시리||,,
테마파크|세리월드|제주특별자치도 서귀포시 법환상로2번길 97-17|064-739-8254|,,
관광,명소|속골|제주특별자치도 서귀포시 서홍동||,
관광안내소|사려니숲길 관광안내소|제주특별자치도 서귀포시 표선면 가시리 산 158|064-900-8800|,,
관광,명소|산방산유채꽃밭|제주특별자치도 서귀포시 안덕면 사계리||,
오름|영주산|제주특별자치도 서귀포시 표선면 성읍리 산 18-1||,,
관광농원|최남단체험감귤농장|제주특별자치도 서귀포시 남원읍 남위남성로 164|064-764-7759|,,
테마파크|성읍랜드|제주특별자치도 서귀포시 표선면 번영로 2650||,,
폭포|소정방폭포|제주특별자치도 서귀포시 토평동||,,
산|고근산|제주특별자치도 서귀포시 서호동 1286-1||,,
테마파크|물의도시 베니스랜드|제주특별자치도 서귀포시 성산읍 서성일로 474|064-784-6565|,,
오름|사라오름|제주특별자치도 서귀포시 남원읍 신례리 산 2-1||,,
해수욕장,해변|신양섭지해수욕장|제주특별자치도 서귀포시 성산읍 섭지코지로 88|064-760-4990|,
관광,명소|갯깍주상절리대|제주특별자치도 서귀포시 색달동||,
오름|붉은오름|제주특별자치도 서귀포시 표선면 가시리 산 158||,,
관광,명소|유채꽃밭|제주특별자치도 서귀포시 성산읍 고성리||,
해수욕장,해변|하효쇠소깍해변|제주특별자치도 서귀포시 하효동 997-3||,
도보여행|월평마을 아왜낭목 쉼터|제주특별자치도 서귀포시 월평동 738||,,
해수욕장,해변|하모해수욕장|제주특별자치도 서귀포시 대정읍 하모리|064-760-4083|,
관광안내소|주상절리관광안내소|제주특별자치도 서귀포시 이어도로 36-30||,,
관광,명소|안성리 수국길|제주특별자치도 서귀포시 대정읍 안성리 995-1||,
도보여행|고살리숲길|제주특별자치도 서귀포시 남원읍 하례리 산 54-2||,,
계곡|돈내코계곡|제주특별자치도 서귀포시 돈내코로 137||,,
관광농원|설록다원도순|제주특별자치도 서귀포시 중산간서로356번길 152-41||,,
둘레길|한라산둘레길 수악길|제주특별자치도 서귀포시 남원읍 하례리 산 10-12||,,
관광,명소|짱구네 유채꽃밭|제주특별자치도 서귀포시 성산읍 수산리 1021||,
관광,명소|제주올레 7코스 여행자센터|제주특별자치도 서귀포시 중정로 22|064-762-2167|,
관광,명소|제주동백마을|제주특별자치도 서귀포시 남원읍 한신로531번길 22-1|064-764-8756|,
숲|화순 곶자왈생태탐방숲길|제주특별자치도 서귀포시 안덕면 화순리||,,
유적지|추사유배지|제주특별자치도 서귀포시 대정읍 추사로 44||,,
하천|강정천|제주특별자치도 서귀포시 강정동 5647||,,
숲|사려니숲|제주특별자치도 서귀포시 남원읍 수망리||,,
전망대|솔오름전망대|제주특별자치도 서귀포시 동홍동 2150-1||,,
바위|큰엉|제주특별자치도 서귀포시 남원읍 남원리||,,
테마거리|보롬왓수국길|제주특별자치도 서귀포시 표선면 성읍리||,,
테마파크|오늘은카트레이싱|제주특별자치도 서귀포시 표선면 중산간동로 4776|064-787-9990|,,
오름|이승이오름|제주특별자치도 서귀포시 남원읍 신례리 산 2-4||,,
천문대|서귀포천문과학문화관|제주특별자치도 서귀포시 1100로 506-1|064-739-9701|,,
관광,명소|갯깍주상절리|제주특별자치도 서귀포시 색달동 2101||,
테마파크|액트몬 제주중문점|제주특별자치도 서귀포시 중문관광로 205||,,
관광안내소|제주올레1코스 공식안내소|제주특별자치도 서귀포시 성산읍 시흥상동로53번길 88-46|070-4152-1750|,,
해수욕장,해변|소금막해변|제주특별자치도 서귀포시 표선면 표선리||,
숲|위미동백나무군락|제주특별자치도 서귀포시 남원읍 위미중앙로300번길 15||,,
테마파크시설|휘닉스제주섭지코지 글라스하우스|제주특별자치도 서귀포시 성산읍 고성리 46||,,
오름|두산봉|제주특별자치도 서귀포시 성산읍 시흥리 2661||,,
오름|제지기오름|제주특별자치도 서귀포시 보목동 275-1||,,
섬|새섬|제주특별자치도 서귀포시 서귀동 산 3-2||,,
수목원,식물원|제주커피수목원|제주특별자치도 서귀포시 안덕면 사계리 3136|064-792-5554|,
생태보존,서식지|1100고지습지 람사르습지|제주특별자치도 서귀포시 색달동 산 1-1|064-713-9950|,
관광농원|트로이테마농원|제주특별자치도 서귀포시 안덕면 녹차분재로 56|064-792-8625|,,
전망대|외돌개 전망대|제주특별자치도 서귀포시 서홍동 794-11||,,
촬영지|쉬리의언덕|제주특별자치도 서귀포시 색달동 3039-41||,,
둘레길|녹산로|제주특별자치도 서귀포시 표선면 가시리||,,
오름|윗세오름|제주특별자치도 서귀포시 서호동 산 1-1||,,
오름|단산|제주특별자치도 서귀포시 대정읍 인성리 21-2||,,
테마파크|산방산랜드|제주특별자치도 서귀포시 안덕면 사계리 117-2|064-794-1425|,,
테마파크|다이노대발이파크 (휴업중)|제주특별자치도 서귀포시 남원읍 태위로 536|064-764-0002|,,
관광,명소|화순곶자왈|제주특별자치도 서귀포시 안덕면 화순리||,
테마파크|마린파크|제주특별자치도 서귀포시 안덕면 화순중앙로 132|064-792-7775|,,
오름|왕이메|제주특별자치도 서귀포시 안덕면 광평리 산 79||,,
동굴|송악산진지동굴|제주특별자치도 서귀포시 대정읍 상모리||,,
동굴|일출랜드 미천굴|제주특별자치도 서귀포시 성산읍 삼달리 1010|064-784-2082|,,
테마파크|토이파크|제주특별자치도 서귀포시 안덕면 동광로 267-7|064-794-0333|,,
오름|대록산|제주특별자치도 서귀포시 표선면 가시리 산 68-9||,,
오름|섯알오름|제주특별자치도 서귀포시 대정읍 상모리 1593-2||,,
워터테마파크|신화워터파크|제주특별자치도 서귀포시 안덕면 서광리 산 24|1670-1188|,,
유원지|강정천유원지|제주특별자치도 서귀포시 강정동||,,
오름|대수산봉|제주특별자치도 서귀포시 성산읍 고성리 2039-1||,,
저수지|수산한못|제주특별자치도 서귀포시 성산읍 수산리 3990||,,
도립공원|성산일출해양도립공원|제주특별자치도 서귀포시 성산읍 성산리|064-783-0959|,,
문화유적|무오법정사 항일운동발상지|제주특별자치도 서귀포시 1100로 740-168|064-760-3577|,,
관광,명소|태웃개|제주특별자치도 서귀포시 남원읍 위미리 69||,
동굴|황우지해안열두굴|제주특별자치도 서귀포시 서홍동 764-1||,,
관광,명소|돔베낭골|제주특별자치도 서귀포시 호근동||,
관광,명소|가시리 국산화 풍력발전단지|제주특별자치도 서귀포시 표선면 녹산로 464-78||,
관광안내소|제주올레10코스 공식안내소|제주특별자치도 서귀포시 안덕면 화순해안로 87|070-4152-1754|,,
전망대|거린사슴 전망대|제주특별자치도 서귀포시 1100로 823||,,
오름|식산봉|제주특별자치도 서귀포시 성산읍 오조리 313||,,
방조제|영락리 방파제|제주특별자치도 서귀포시 대정읍 무릉리 3783-3||,,
산봉우리|삼매봉|제주특별자치도 서귀포시 서홍동 819||,,
관광,명소|진곶내 (폐쇄)|제주특별자치도 서귀포시 월평동 727-2||,
관광,명소|도구리알|제주특별자치도 서귀포시 대정읍||,
자전거여행|법환바당 인증센터|제주특별자치도 서귀포시 막숙포로 61||,,
테마파크|중문미로파크|제주특별자치도 서귀포시 일주서로 1225-5|064-738-0667|,,
관광,명소|위미리수국길|제주특별자치도 서귀포시 남원읍 위미리 668-4||,
문화유적|알뜨르비행장 일제지하벙커|제주특별자치도 서귀포시 대정읍 상모리 1670||,,
관광농원|산물관광농원|제주특별자치도 서귀포시 남원읍 하례로 90||,,
워터테마파크|제주워터월드|제주특별자치도 서귀포시 월드컵로 33|064-739-1930|,,
드라이브코스|5.16도로|제주특별자치도 서귀포시 남원읍 신례리||,,
도보여행|올레요7쉼터|제주특별자치도 서귀포시 이어도로 826-86|064-763-8084|,,
호수|한라산사라오름 산정호수|제주특별자치도 서귀포시 남원읍 신례리 산 2-1||,,
전망대|중문관광단지 별내린전망대|제주특별자치도 서귀포시 색달동 2938-1||,,
관광안내소|한라산 정상안내소|제주특별자치도 서귀포시 상효동||,,
고개|추억의숲길|제주특별자치도 서귀포시 호근동 산 5-1||,,
관광안내소|제주올레11코스 공식안내소|제주특별자치도 서귀포시 대정읍 하모리 2140|070-4152-8138|,,
해수욕장,해변|황우치해변|제주특별자치도 서귀포시 안덕면 사계리 79-4||,
오름|월라봉|제주특별자치도 서귀포시 안덕면 감산리 1144||,,
촬영지|커피프렌즈 촬영지|제주특별자치도 서귀포시 안덕면 서광리 1791-1|064-794-9891|,,
숲|제주동백마을숲|제주특별자치도 서귀포시 남원읍 신흥리 1599-1|064-764-8756|,,
드라이브코스|보목해안도로|제주특별자치도 서귀포시 보목동||,,
향교,서당|대정향교|제주특별자치도 서귀포시 안덕면 향교로 165-17||,
테마파크|제주루지테마파크|제주특별자치도 서귀포시 안덕면 서광리 717-3||,,
자전거여행|성산일출봉 인증센터|제주특별자치도 서귀포시 성산읍 오조리 2-3||,,
관광,명소|사계리수국길|제주특별자치도 서귀포시 안덕면 사계리||,
관광안내소|치유의숲 방문자센터|제주특별자치도 서귀포시 산록남로 2271||,,
관광안내소|제주올레4코스 공식안내소|제주특별자치도 서귀포시 표선면 민속해안로 587|070-4152-1751|,,
자연휴양림|제주시험림|제주특별자치도 서귀포시 남원읍 서성로651번길 235||,,
도보여행|고근산 산책로|제주특별자치도 서귀포시 서호동 1286-1||,,
섬|형제섬|제주특별자치도 서귀포시 안덕면 사계리||,,
섬|서건도|제주특별자치도 서귀포시 강정동 산 1||,,
오름|원물오름|제주특별자치도 서귀포시 안덕면 동광리 산 41||,,
오름|붉은오름|제주특별자치도 서귀포시 성산읍 섭지코지로 261||,,
관광안내소|제주올레5코스 공식안내소|제주특별자치도 서귀포시 남원읍 남태해안로 140|070-4152-1752|,,
자전거여행|쇠소깍 인증센터|제주특별자치도 서귀포시 하효동 995-4||,,
숲|수망리 마흐니숲길|제주특별자치도 서귀포시 남원읍 수망리 산 203||,,
드라이브코스|열리해안도로|제주특별자치도 서귀포시 하예동||,,
도자기,도예촌|산경도예|제주특별자치도 서귀포시 대정읍 서삼중로 232|064-792-5882|,
폭포|개다리폭포|제주특별자치도 서귀포시 색달동 3101-1||,,
관광안내소|중문관광단지안내소|제주특별자치도 서귀포시 중문관광로 38|064-739-1330|,,
드라이브코스|표선해안도로|제주특별자치도 서귀포시 표선면 표선리||,,
테마파크|제주거울미로 이상한나라의 앨리스|제주특별자치도 서귀포시 안덕면 중산간서로 1881|064-794-4700|,,
먹자골목|아랑조을거리|제주특별자치도 서귀포시 서귀동 306-2||,,
자전거여행|송악산 인증센터|제주특별자치도 서귀포시 대정읍 상모리 157-2||,,
온천|아라고나이트 고온천|제주특별자치도 서귀포시 안덕면 산록남로762번길 71 디아넥스 1층|064-792-5200|,,
도보여행|시흥초등학교 제주올레1코스 표지석|제주특별자치도 서귀포시 성산읍 시흥리 2644||,,
해수욕장,해변|우뭇개해안|제주특별자치도 서귀포시 성산읍 성산리||,
도립공원|서귀포해양도립공원|제주특별자치도 서귀포시 서홍동 718-1||,,
국립공원|한라산국립공원|제주특별자치도 제주시 오등동 산 182|064-713-9950|,,
오름|매오름|제주특별자치도 서귀포시 표선면 세화리 산 7||,,
관광,명소|영락해안도로|제주특별자치도 서귀포시 대정읍 일과리||,
오름|모슬봉|제주특별자치도 서귀포시 대정읍 동일리 2081-3||,,
테마파크시설|세리월드 카트레이싱|제주특별자치도 서귀포시 법환동 881-2|064-739-8254|,,
해수욕장,해변|광치기중간|제주특별자치도 서귀포시 성산읍 고성리||,
관광,명소|한라산영실|제주특별자치도 서귀포시 도순동 산 1|064-747-9950|,
섬|범섬|제주특별자치도 서귀포시 법환동||,,
오름|영아리|제주특별자치도 서귀포시 안덕면 상천리 산 24||,,
둘레길|산방산둘레길|제주특별자치도 서귀포시 대정읍 상모리||,,
해수욕장,해변|수마포해안|제주특별자치도 서귀포시 성산읍 성산리||,
드라이브코스|고산일과해안도로|제주특별자치도 서귀포시 대정읍 신도리||,,
수목원,식물원|제주여미지식물원매표소|제주특별자치도 서귀포시 색달동 2484-1||,
관광안내소|제주곶자왈도립공원 탐방안내소|제주특별자치도 서귀포시 대정읍 에듀시티로 178||,,
관광,명소|박수기정 잔디밭|제주특별자치도 서귀포시 안덕면 감산리 1050||,
숲|국립산림과학원 난대아열대산림연구소 한남연구시험림|제주특별자치도 서귀포시 남원읍 서성로651번길 235|070-4253-1100|,,
관광안내소|하논분화구 방문자센터|제주특별자치도 서귀포시 일주동로 8823|064-733-2912|,,
산|미악산|제주특별자치도 서귀포시 동홍동 2195||,,
자전거여행|표선해변 인증센터|제주특별자치도 서귀포시 표선면 표선리 44-4||,,
오름|남송이오름|제주특별자치도 서귀포시 안덕면 서광리 산 31||,,
관광,명소|법환어촌계해녀체험센터|제주특별자치도 서귀포시 최영로 10|064-739-1232|,
탑,비석|정난주마리아묘|제주특별자치도 서귀포시 대정읍 동일리 10-1||,
문화유적|대정성지|제주특별자치도 서귀포시 대정읍 보성리||,,
관광,명소|성산해안도로|제주특별자치도 서귀포시 성산읍 성산리||,
도자기,도예촌|성지도예|제주특별자치도 서귀포시 표선면 성읍이리로 85|064-787-2773|,
테마파크|가시리 조랑말체험장|제주특별자치도 서귀포시 표선면 가시리 산 54-2|064-787-0960|,,
관광농원|신화가든|제주특별자치도 서귀포시 안덕면 서광리 산 24-8||,,
오름|사려니|제주특별자치도 서귀포시 남원읍 한남리 산 2-1||,,
생가,고택|이중섭거주지|제주특별자치도 서귀포시 이중섭로 29||,
오름|거린사슴|제주특별자치도 서귀포시 대포동 산 2-1||,,
문화유적|제주송악산외륜 일제동굴진지|제주특별자치도 서귀포시 대정읍 상모리 186-1||,,
관광,명소|팜파스군락지|제주특별자치도 서귀포시 표선면 성읍리 310||,
동굴|진지동굴|제주특별자치도 서귀포시 안덕면 감산리 1162||,,
오름|시오름|제주특별자치도 서귀포시 서호동 산 1||,,
먹자골목|칠십리음식특화거리|제주특별자치도 서귀포시 서귀동 93-9||,,
오름|자배봉|제주특별자치도 서귀포시 남원읍 위미리 산 132-2||,,
관광,명소|소남머리|제주특별자치도 서귀포시 송산동||,
오름|당오름|제주특별자치도 서귀포시 안덕면 동광리 산 68-1||,,
숲|동백동산|제주특별자치도 서귀포시 안덕면 광평리 산 97||,,
관광,명소|강정해오름노을길|제주특별자치도 서귀포시 강정동 4655-1|064-739-2067|,
숲|사려니숲길|제주특별자치도 제주시 조천읍 교래리 산 137-1|064-900-8800|,,
오름|우보악|제주특별자치도 서귀포시 색달동 912-1||,,
오름|개오름|제주특별자치도 서귀포시 표선면 성읍리 2974||,,
탑,비석|하멜기념비|제주특별자치도 서귀포시 안덕면 사계리 112-3|064-760-6304|,
자연휴양림|한남시험림탐방|제주특별자치도 서귀포시 남원읍 서성로651번길 235||,,
워터테마파크|금호리조트 제주아쿠아나|제주특별자치도 서귀포시 남원읍 태위로 522-12|064-766-8021|,,
관광농원|제주테마농원|제주특별자치도 서귀포시 일주서로 686||,,
바위|색달해안갯깍 주상절리대|제주특별자치도 서귀포시 색달동||,,
카지노|제주신화월드 랜딩카지노|제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 지하2층|064-908-8880|,,
섬|섶섬|제주특별자치도 서귀포시 보목동||,,
분류|이름|주소|전화번호|대표사진주소,,
관광,명소|스누피가든|제주특별자치도 제주시 구좌읍 금백조로 930|064-784-0930|,
해수욕장,해변|함덕해수욕장|제주특별자치도 제주시 조천읍 조함해안로 525|064-728-3989|,
자연휴양림|비자림|제주특별자치도 제주시 구좌읍 비자숲길 55|064-710-7912|,,
해수욕장,해변|협재해수욕장|제주특별자치도 제주시 한림읍 한림로 329-10|064-728-3981|,
오름|산굼부리|제주특별자치도 제주시 조천읍 교래리 166-2|064-783-9900|,,
테마파크|9.81파크|제주특별자치도 제주시 애월읍 천덕로 880-24|1833-9810|,,
오름|금오름|제주특별자치도 제주시 한림읍 금악리 산 1-1||,,
국립공원|한라산국립공원|제주특별자치도 제주시 오등동 산 182|064-713-9950|,,
드라이브코스|도두동무지개해안도로|제주특별자치도 제주시 도두일동 1734||,,
숲|사려니숲길|제주특별자치도 제주시 조천읍 교래리 산 137-1|064-900-8800|,,
해수욕장,해변|이호테우해수욕장|제주특별자치도 제주시 이호일동 1665-13|064-728-3993|,
오름|도두봉|제주특별자치도 제주시 도두일동 산 2|064-710-6043|,,
숲|비밀의숲|제주특별자치도 제주시 구좌읍 송당리 2173||,,
동굴|만장굴|제주특별자치도 제주시 구좌읍 만장굴길 182|064-710-7903|,,
바위|용두암|제주특별자치도 제주시 용두암길 15|064-711-1022|,,
해수욕장,해변|금능해수욕장|제주특별자치도 제주시 한림읍 금능길 119-10|064-728-3983|,
테마파크|에코랜드테마파크|제주특별자치도 제주시 조천읍 번영로 1278-169|064-802-8000|,,
섬|우도|제주특별자치도 제주시 우도면 연평리|064-728-4333|,,
해수욕장,해변|김녕해수욕장|제주특별자치도 제주시 구좌읍 해맞이해안로 7-6|064-728-3987|,
오름|새별오름|제주특별자치도 제주시 애월읍 봉성리 산 59-8||,,
자연휴양림|제주절물자연휴양림|제주특별자치도 제주시 명림로 584|064-728-1510|,,
드라이브코스|신창풍차해안도로|제주특별자치도 제주시 한경면 신창리 1322-1||,,
오름|수월봉|제주특별자치도 제주시 한경면 고산리 3760||,,
해수욕장,해변|곽지해수욕장|제주특별자치도 제주시 애월읍 곽지리 1565|064-728-3985|,
오름|용눈이오름|제주특별자치도 제주시 구좌읍 종달리 산 28||,,
관광,명소|한림공원|제주특별자치도 제주시 한림읍 한림로 300|064-796-0001|,
수목원,식물원|한라수목원|제주특별자치도 제주시 수목원길 72|064-710-7575|,
해수욕장,해변|세화해변|제주특별자치도 제주시 구좌읍 해녀박물관길 27|064-728-7752|,
유적지|항파두리 항몽유적지|제주특별자치도 제주시 애월읍 항파두리로 50|064-710-6720|,,
해수욕장,해변|월정리해수욕장|제주특별자치도 제주시 구좌읍 월정리 33-3|064-728-3394|,
해수욕장,해변|한담해변|제주특별자치도 제주시 애월읍 애월리|064-728-3394|,
관광,명소|한담해안산책로|제주특별자치도 제주시 애월읍 곽지리 1359||,
오름|안돌오름|제주특별자치도 제주시 구좌읍 송당리 산 66-2||,,
오름|다랑쉬오름|제주특별자치도 제주시 구좌읍 세화리 산 6||,,
테마파크|제주돌문화공원|제주특별자치도 제주시 조천읍 남조로 2023|064-710-7731|,,
문화유적|관덕정|제주특별자치도 제주시 관덕로 19|064-710-6717|,,
오름|거문오름|제주특별자치도 제주시 조천읍 선교로 569-36|064-710-8981|,,
해수욕장,해변|삼양해수욕장|제주특별자치도 제주시 삼양이동 1960-4|064-728-3991|,
동물원|화조원|제주특별자치도 제주시 애월읍 애원로 804|064-799-9988|,,
드라이브코스|애월해안도로|제주특별자치도 제주시 애월읍 신엄리 2719-3||,,
테마거리|신비의도로|제주특별자치도 제주시 노형동 291-16||,,
테마파크|김녕미로공원|제주특별자치도 제주시 구좌읍 만장굴길 122|064-782-9266|,,
오름|서우봉|제주특별자치도 제주시 조천읍 함덕리 169-3||,,
테마파크|메이즈랜드|제주특별자치도 제주시 구좌읍 비자림로 2134-47|064-784-3838|,,
바위|창꼼|제주특별자치도 제주시 조천읍 북촌리 403-9||,,
수목원,식물원|수목원테마파크|제주특별자치도 제주시 은수길 69|064-742-3700|,
오름|아부오름|제주특별자치도 제주시 구좌읍 송당리 2263||,,
드라이브코스|용담해안도로|제주특별자치도 제주시 도두일동||,,
카페거리|애월카페거리|제주특별자치도 제주시 애월읍 애월리||,,
관광,명소|돌염전|제주특별자치도 제주시 애월읍 구엄리||,
유원지|제주레일바이크|제주특별자치도 제주시 구좌읍 용눈이오름로 641|064-783-0033|,,
테마파크|제주불빛정원|제주특별자치도 제주시 애월읍 평화로 2346|064-799-6996|,,
관광,명소|월령선인장군락지|제주특별자치도 제주시 한림읍 월령리 359-4||,
테마파크|선녀와나무꾼 테마공원|제주특별자치도 제주시 조천읍 선흘리 1997|064-784-9001|,,
유적지|제주4.3평화공원|제주특별자치도 제주시 명림로 430|064-723-4344|,,
오름|저지오름|제주특별자치도 제주시 한경면 저지리 산 51||,,
관광,명소|닭머르|제주특별자치도 제주시 조천읍 신촌리 3403||,
자연휴양림|교래자연휴양림|제주특별자치도 제주시 조천읍 남조로 2023|064-783-7482|,,
테마파크|제주 유리의성|제주특별자치도 제주시 한경면 녹차분재로 462|064-772-7777|,,
산봉우리|사라봉|제주특별자치도 제주시 건입동 387-1||,,
섬|추자도|제주특별자치도 제주시 추자면 묵리|064-728-4281|,,
숲|한라생태숲|제주특별자치도 제주시 516로 2596|064-710-8688|,,
테마파크|제주공룡랜드|제주특별자치도 제주시 애월읍 광령평화2길 1|064-746-3060|,,
테마파크|제주레포츠랜드|제주특별자치도 제주시 조천읍 와흘상서2길 47|064-784-8800|,,
숲|삼다수숲길|제주특별자치도 제주시 조천읍 교래리 산 70-1||,,
유적지|삼성혈|제주특별자치도 제주시 삼성로 22||,,
테마파크|액티브파크|제주특별자치도 제주시 한림읍 금능남로 76|064-796-0880|,,
오름|아끈다랑쉬오름|제주특별자치도 제주시 구좌읍 세화리 2593-2||,,
