분류,이름,주소,전화번호,대표사진주소
실내포장마차,술이술술,제주특별자치도 서귀포시 천제연로188번길 12,064-738-2208,
"호프,요리주점",영심이네화강발,제주특별자치도 서귀포시 성산읍 동류암로 48,064-782-6656,
"호프,요리주점",코지펍,제주특별자치도 서귀포시 성산읍 신양로122번길 10-8,,
"호프,요리주점",하와이,제주특별자치도 서귀포시 표선면 표선동서로 191,064-787-0811,
와인바,2046호,제주특별자치도 서귀포시 대정읍 구억리 1033,010-8652-3738,
"호프,요리주점",동네술집,제주특별자치도 서귀포시 성산읍 성산중앙로 59-1,064-782-1009,
"호프,요리주점",사계주막,제주특별자치도 서귀포시 안덕면 형제해안로 13-1,,
"호프,요리주점",부산갈매기,제주특별자치도 서귀포시 성산읍 동류암로 46,064-782-6111,
"호프,요리주점",제주신화월드 바온탑,제주특별자치도 서귀포시 안덕면 서광리 산 24 신화관 1층,064-908-2630,
와인바,오후다섯시,제주특별자치도 서귀포시 칠십리로 39 2층,,
"호프,요리주점",한잔해,제주특별자치도 서귀포시 대정읍 영서중로 5,064-794-6212,
술집,구찌커피앤비어,제주특별자치도 서귀포시 중정로61번길 21 2층,064-762-9100,
오뎅바,투다리 남원점,제주특별자치도 서귀포시 남원읍 태위로663번길 1,064-764-5792,
"호프,요리주점",에뜨랑제,제주특별자치도 서귀포시 대정읍 신영로 112-1,064-794-6609,
"호프,요리주점",다님길,제주특별자치도 서귀포시 중문상로 40,064-738-3545,
"호프,요리주점",크라운호프 서귀포점,제주특별자치도 서귀포시 이중섭로 6,,
칵테일바,몸둘바,제주특별자치도 서귀포시 성산읍 신양로122번길 10-8 1층,,
"호프,요리주점",미성한잔술,제주특별자치도 서귀포시 성산읍 동류암로39번길 12,010-9779-0758,
실내포장마차,칠성포차 제주서귀포점,제주특별자치도 서귀포시 명동로 19-1 2층,064-732-7793,
"호프,요리주점",소랑주방,제주특별자치도 서귀포시 명동로 13-1,064-763-7901,
"호프,요리주점",슈퍼문,제주특별자치도 서귀포시 동홍남로 48 1층,,
"호프,요리주점",향기소주호프,제주특별자치도 서귀포시 성산읍 산성효자로 228-10,064-782-3633,
"호프,요리주점",토대력 중문점,제주특별자치도 서귀포시 천제연로 172,064-739-8257,
"호프,요리주점",꾸바꾸바 서귀포1호점,제주특별자치도 서귀포시 중앙로 148,064-762-8592,
"호프,요리주점",프레드허쉬,제주특별자치도 서귀포시 태평로 416-1,,
실내포장마차,해피포차,제주특별자치도 서귀포시 명동로 15,064-733-3757,
실내포장마차,달구지마차,제주특별자치도 서귀포시 천지로 2,064-732-1153,
"호프,요리주점",서울전집,제주특별자치도 서귀포시 성산읍 일주동로 4224,,
술집,오돈꼬치,제주특별자치도 서귀포시 중정로73번길 17,,
술집,바람꽃,제주특별자치도 서귀포시 대정읍 영서중로 5-3,064-794-6616,
술집,술통,제주특별자치도 서귀포시 안덕면 화순로 107,064-792-8281,
실내포장마차,88한녀석들,제주특별자치도 서귀포시 성산읍 성산등용로 16,,
실내포장마차,소백산맥,제주특별자치도 서귀포시 중정로91번길 26,064-763-3776,
술집,노을카페,제주특별자치도 서귀포시 대정읍 신영로 103-1,064-794-6686,
술집,바실,제주특별자치도 서귀포시 서호남로 91 서귀포혁신사랑으로부영아파트 103 상가동,070-8886-8787,
오뎅바,투다리 동남점,제주특별자치도 서귀포시 성산읍 고성오조로 96,064-784-3797,
실내포장마차,청사초롱,제주특별자치도 서귀포시 표선면 표선동서로 254-12,064-787-1995,
"호프,요리주점",소문내봐봐,제주특별자치도 서귀포시 성산읍 일주동로 4223 2층,064-784-4547,
술집,까투리 사계점,제주특별자치도 서귀포시 안덕면 산방로 387,,
"호프,요리주점",나루터,제주특별자치도 서귀포시 천제연로188번길 6,064-738-2620,
"호프,요리주점",J비어,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 9 6층,,
"호프,요리주점",스크류비어 서귀포1호점,제주특별자치도 서귀포시 중앙로 23,064-733-8982,
술집,신나이스 심야소주방,제주특별자치도 서귀포시 성산읍 고성오조로 76,064-782-2488,
일본식주점,꼬지사께 제주모슬포점,제주특별자치도 서귀포시 대정읍 신영로 98-1,064-794-4049,
"호프,요리주점",엔츠노래타운,제주특별자치도 서귀포시 명동로 13-1 2층,064-763-1105,
"호프,요리주점",M,제주특별자치도 서귀포시 성산읍 동류암로39번길 15,064-782-5485,
"호프,요리주점",불로 청송얼음골막걸리 서귀포점,제주특별자치도 서귀포시 동문로 34-1,064-733-8733,
"호프,요리주점",헐크요리점,제주특별자치도 서귀포시 신서귀로 49,064-739-7994,
실내포장마차,포차다,제주특별자치도 서귀포시 중앙로 199 서강파인힐5차상가 2호,,
"호프,요리주점",최남단1박2일,제주특별자치도 서귀포시 대정읍 신영로 97,064-792-2418,
"호프,요리주점",서귀포칼호텔 단란주점,제주특별자치도 서귀포시 칠십리로 242,,
"호프,요리주점",청송막걸리속에천불 서귀포점,제주특별자치도 서귀포시 중앙로72번길 18,064-733-8733,
"호프,요리주점",매니아 레스트&호프,제주특별자치도 서귀포시 장수로 97,064-763-4055,
술집,남원올레,제주특별자치도 서귀포시 남원읍 태위로679번길 8,064-764-4828,
일본식주점,경성주막1929 서귀포점,제주특별자치도 서귀포시 이중섭로 12-1,,
술집,오션스14,제주특별자치도 서귀포시 중앙로 14,,
술집,도리도리31(DORIDORI31),제주특별자치도 서귀포시 대정읍 글로벌에듀로 382,064-794-9847,
"호프,요리주점",희로애락호프,제주특별자치도 서귀포시 표선면 표선중앙로90번길 4,064-787-7827,
"호프,요리주점",주민상회 서광신화점,제주특별자치도 서귀포시 안덕면 녹차분재로 45 1층,,
실내포장마차,인생포차,제주특별자치도 서귀포시 중정로 54,064-733-4418,
실내포장마차,포차랑,제주특별자치도 서귀포시 신동로27번길 35,,
술집,까투리 올레점,제주특별자치도 서귀포시 동홍남로 64,064-763-0333,
실내포장마차,82포차,제주특별자치도 서귀포시 성산읍 동류암로 28,,
술집,늘봄카페,제주특별자치도 서귀포시 남원읍 태위로689번길 10,064-764-3433,
"호프,요리주점",효돈아지트,제주특별자치도 서귀포시 칠십리로 765,,
오뎅바,투다리 서귀포시청점,제주특별자치도 서귀포시 홍중로 25,064-733-9338,
실내포장마차,간이역 중앙점,제주특별자치도 서귀포시 동문동로 35,064-763-0792,
실내포장마차,갓포차,제주특별자치도 서귀포시 서문로 26 2층,,
"호프,요리주점",노가리앤비어서귀포동홍점,제주특별자치도 서귀포시 동홍남로 61,,
"호프,요리주점",가르텐비어 제주동홍점,제주특별자치도 서귀포시 동홍중앙로 51,064-763-2226,
술집,까투리 모슬포점,제주특별자치도 서귀포시 대정읍 영락리 929,064-794-1199,
칵테일바,신라호텔제주 달모리,제주특별자치도 서귀포시 중문관광로72번길 75 3층,064-735-5333,
"호프,요리주점",스래바,제주특별자치도 서귀포시 표선면 표선백사로58번길 15,,
실내포장마차,다이버홍포차,제주특별자치도 서귀포시 칠십리로 57 1층,,
"호프,요리주점",비스트로7,제주특별자치도 서귀포시 동홍중앙로 55 104호,064-732-7008,
술집,데어,제주특별자치도 서귀포시 대정읍 신영로 114 2층,,
"호프,요리주점",올댓비어,제주특별자치도 서귀포시 대정읍 하모상가로 27,064-792-1088,
칵테일바,롯데호텔제주 윈저바,제주특별자치도 서귀포시 중문관광로72번길 35,064-731-4255,
"호프,요리주점",별빛한잔,제주특별자치도 서귀포시 동홍중앙로 52 5층,,
술집,파티클럽바,제주특별자치도 서귀포시 서귀동 528-3,064-763-0881,
실내포장마차,주포차,제주특별자치도 서귀포시 일주서로 962,,
"호프,요리주점",프렌즈,제주특별자치도 서귀포시 김정문화로 52,,
"호프,요리주점",뮤직앤뮤직노래주점,제주특별자치도 서귀포시 표선면 표선중앙로 89 3층,064-787-1154,
와인바,옥탑제이,"제주특별자치도 서귀포시 동홍로 51 2,3층",,
"호프,요리주점",해피투게더,제주특별자치도 서귀포시 동홍중앙로66번길 30-5,064-733-4401,
오뎅바,투다리 표선점,제주특별자치도 서귀포시 표선면 표선동서로 228,064-787-2292,
와인바,제주신라호텔 올래,제주특별자치도 서귀포시 중문관광로72번길 75 6층,064-735-5587,
"호프,요리주점",동아리 중앙점,제주특별자치도 서귀포시 중정로91번길 58,064-713-7792,
"호프,요리주점",맥빙,제주특별자치도 서귀포시 표선면 중산간동로 5264,064-787-0206,
술집,더끌림,제주특별자치도 서귀포시 명동로 44,064-763-8326,
실내포장마차,손님구함,제주특별자치도 서귀포시 중정로91번길 57-2,064-900-3599,
술집,에이지,제주특별자치도 서귀포시 중앙로71번길 15-4,,
"호프,요리주점",토크쇼소주방,제주특별자치도 서귀포시 중앙로71번길 4,064-732-0292,
"호프,요리주점",마르시,제주특별자치도 서귀포시 중동로48번길 7-1,064-732-7380,
"호프,요리주점",케이홀덤펍,제주특별자치도 서귀포시 천제연로185번길 3-1 축협중문종합판매점 2층,,
"호프,요리주점",목마쉼터,제주특별자치도 서귀포시 서문로29번길 25,064-733-8807,
"호프,요리주점",94번가 신서귀점,제주특별자치도 서귀포시 신서귀로 49,,
술집,26번가,제주특별자치도 서귀포시 천지로 26,064-762-0824,
실내포장마차,잔디포차,제주특별자치도 서귀포시 대정읍 하모이삼로 63,064-792-0466,
"호프,요리주점",엠호프,제주특별자치도 서귀포시 이어도로 604,,
"호프,요리주점",쏘쏘비어,제주특별자치도 서귀포시 명동로 19,,
"호프,요리주점",숟가락젓가락,제주특별자치도 서귀포시 중앙로 21,064-762-9112,
"호프,요리주점",남원태백산맥,제주특별자치도 서귀포시 남원읍 태위로 672-2,064-764-2989,
"호프,요리주점",간이역 표선점,제주특별자치도 서귀포시 표선면 표선중앙로 106,,
술집,소울카페,제주특별자치도 서귀포시 중앙로72번길 12,064-762-0016,
"호프,요리주점",런던1972,제주특별자치도 서귀포시 일주서로 1124,,
"호프,요리주점",구피풋,제주특별자치도 서귀포시 이중섭로 11,,
"호프,요리주점",살롱드 감산점,제주특별자치도 서귀포시 안덕면 감산중로 34,,
"호프,요리주점",토크쇼 동남점,제주특별자치도 서귀포시 성산읍 고성동서로 71,064-784-7292,
술집,춘,제주특별자치도 서귀포시 이중섭로 17,064-763-0881,
일본식주점,오소이 중문점,제주특별자치도 서귀포시 중문상로 46,,
"호프,요리주점",퍼블릭467,제주특별자치도 서귀포시 성산읍 환해장성로 467,,
"호프,요리주점",신나라,제주특별자치도 서귀포시 천지로 6,064-763-3019,
술집,맥주클럽,제주특별자치도 서귀포시 동문로 59,,
술집,홈런펍,제주특별자치도 서귀포시 명동로 16,064-762-1900,
"호프,요리주점",소주한잔,제주특별자치도 서귀포시 중정로91번길 41-1,,
"호프,요리주점",스마트헬로,제주특별자치도 서귀포시 신중남로 1,064-738-6449,
실내포장마차,육거리포차,제주특별자치도 서귀포시 안덕면 화순해안로 1,,
"호프,요리주점",까투리 화순점,제주특별자치도 서귀포시 안덕면 화순로 115,,
실내포장마차,빈티지실내포차,제주특별자치도 서귀포시 표선면 표선동서로 254-12,,
술집,정이네까페,제주특별자치도 서귀포시 성산읍 성산중앙로 52,,
실내포장마차,여기가게,제주특별자치도 서귀포시 명동로 19-1,,
실내포장마차,1970포차,제주특별자치도 서귀포시 동홍중앙로90번길 4-8 1층,,
와인바,리브라,제주특별자치도 서귀포시 신중로 71 보가정원2층,0507-1356-1779,
"호프,요리주점",길벗소주방,제주특별자치도 서귀포시 안덕면 화순로109번길 1,064-792-5779,
"호프,요리주점",땡큐소주방,제주특별자치도 서귀포시 서문로 23,064-732-9986,
"호프,요리주점",제주빽가,제주특별자치도 서귀포시 대청로25번길 6-9,,
술집,미드나잇제주,제주특별자치도 서귀포시 안덕면 서광리 산 24-11,,
실내포장마차,너와나실내포장마차,제주특별자치도 서귀포시 일주동로 8712-1,064-733-3194,
"호프,요리주점",세븐,제주특별자치도 서귀포시 성산읍 고성오조로 70-2,,
"호프,요리주점",더조은호프,제주특별자치도 서귀포시 신서귀로 58,,
술집,88자유실내포차,제주특별자치도 서귀포시 성산읍 성산등용로 16,,
"호프,요리주점",라라소주앤비어,제주특별자치도 서귀포시 동문로 16 지하1층,,
술집,인,제주특별자치도 서귀포시 중앙로62번길 34 1층,,
"호프,요리주점",더비어,제주특별자치도 서귀포시 중문상로 38,064-739-9922,
"호프,요리주점",중문일가,제주특별자치도 서귀포시 천제연로 266,,
"호프,요리주점",탐라국꾼,제주특별자치도 서귀포시 남원읍 태위로 673,064-764-0981,
"호프,요리주점",뱅&비어,제주특별자치도 서귀포시 강정동 1073,064-739-9732,
실내포장마차,우정포장마차,제주특별자치도 서귀포시 표선면 표선동서로 222-1,064-787-0222,
실내포장마차,대박포장마차,제주특별자치도 서귀포시 중산간동로 8002-1,064-732-0052,
"호프,요리주점",찬누리호프,제주특별자치도 서귀포시 중정로91번길 11,064-733-9234,
"호프,요리주점",매니아,제주특별자치도 서귀포시 동홍중앙로 49,064-762-5240,
일본식주점,하루 서홍점,제주특별자치도 서귀포시 중앙로 199,,
"호프,요리주점",야구펍,제주특별자치도 서귀포시 명동로 16,,
"호프,요리주점",생탁좁쌀막걸리오메기,제주특별자치도 서귀포시 서호호근로 55,010-4445-6199,
술집,썸,제주특별자치도 서귀포시 솔동산로10번길 18,064-762-3555,
술집,설악개,제주특별자치도 서귀포시 남원읍 남원회관로 14,064-764-2277,
칵테일바,라운지앤바,제주특별자치도 서귀포시 중문관광로72번길 60,,
실내포장마차,마라도포장마차,제주특별자치도 서귀포시 대정읍 하모상가로 26,064-792-8503,
"호프,요리주점",노네임,제주특별자치도 서귀포시 이중섭로 11,,
"호프,요리주점",노가리&비어,제주특별자치도 서귀포시 이중섭로 11,,
실내포장마차,쏭스포차,제주특별자치도 서귀포시 표선면 표선동서로 276-1,,
실내포장마차,비긴어게인,제주특별자치도 서귀포시 정방로 9,,
"호프,요리주점",99나인티나인,제주특별자치도 서귀포시 표선면 민속해안로 537 해비치호텔 1층,064-780-8325,
"호프,요리주점",도란도란,제주특별자치도 서귀포시 중앙로47번길 7,,
술집,밤고냉이,제주특별자치도 서귀포시 동홍남로 28 1층,,
"호프,요리주점",막상올레,제주특별자치도 서귀포시 표선면 표선중앙로 96,064-787-5670,
"호프,요리주점",하영뜰채,제주특별자치도 서귀포시 신서귀로 11,,
술집,꼬꼬실내소주방,제주특별자치도 서귀포시 천지로 3,064-732-1521,
"호프,요리주점",또올레,제주특별자치도 서귀포시 표선면 표선리 851,,
