분류|이름|주소|전화번호|대표사진주소,
회|부두식당|제주특별자치도 서귀포시 대정읍 하모항구로 62|064-794-1223|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F88211ec4eb35e344141180198a029e3a093f10b7,
한식|가시식당|제주특별자치도 서귀포시 표선면 가시로565번길 22|064-787-1035|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4FB6A8AA510D4CB5920DAC786F274782,
육류,고기|천짓골식당|제주특별자치도 서귀포시 중앙로41번길 4|064-763-0399|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA0C263A6D31E46D9B7A09B57A4B8A448
육류,고기|칠돈가 중문점|제주특별자치도 서귀포시 중문관광로 8|064-738-1195|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F4AA1861EA15D4B7BAC5C47C52021D89B
불고기,두루치기|용이식당|제주특별자치도 서귀포시 중앙로79번길 9|064-732-7892|
국수|고씨네천지국수|제주특별자치도 서귀포시 중앙로79번길 4|064-764-0436|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F89CC717326064AD781F717ED73F19D32,
회|자리돔횟집|제주특별자치도 서귀포시 동홍동로 7|064-733-1239|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F269F3FB8916B48A78C9776BE18FF9222,
육류,고기|뽈살집 제주본점|제주특별자치도 서귀포시 중정로91번길 37|064-763-6860|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4EDFB90CC23549C39FB23736DC4E77D8
육류,고기|난드르바당|제주특별자치도 서귀포시 하예하동로16번길 11-1|064-739-0053|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB144C9B6CCE04F36B855652761B49A36
육류,고기|흑돼지BBQ|제주특별자치도 서귀포시 태평로353번길 4|064-762-1277|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F5E1DF914F2124A359650544792E40AA8
냉면|산방식당|제주특별자치도 서귀포시 대정읍 하모이삼로 62|064-794-2165|,
국수|국수바다 본점|제주특별자치도 서귀포시 일주서로 982||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2665D53455DBBAE509,
해물,생선|삼보식당|제주특별자치도 서귀포시 중정로 25|064-762-3620|
해물,생선|대기정|제주특별자치도 서귀포시 이어도로 41|064-739-1041|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3248696385C84234922FC361E163A82B
햄버거|제주판타스틱버거|제주특별자치도 서귀포시 표선면 토산중앙로15번길 6|0507-1339-6990|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8E7A656C5BCB422D9C1BE6C5BBBC7F60,
햄버거|88버거|제주특별자치도 서귀포시 동문로 63|064-733-8488|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FDFC09A1C6FD04830BAB7BB6E49EA68B0,
양식|글라글라하와이|제주특별자치도 서귀포시 대정읍 하모항구로 70|064-792-2737|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1F35B651A7174ADCBC011F7EE30FD10F,
양식|센트로|제주특별자치도 서귀포시 태평로 449 1층|070-8614-6245|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FAEC20543597F45379A6BD23DCF4F5A4A,
이탈리안|휘닉스제주섭지코지 민트레스토랑|제주특별자치도 서귀포시 성산읍 고성리 46 글라스하우스 2층|064-731-7773|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5629FB9CB0DB40F0AE1BBDE360A21B13,
해산물|자연스러운식당|제주특별자치도 서귀포시 태평로92번길 8|0507-1306-8702|,
양식|윌라라|제주특별자치도 서귀포시 성산읍 성산중앙로 33|0507-1404-5120|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F32379F101E284B298FCBFE8B6581540E,
양식|올레안뜰|제주특별자치도 서귀포시 법환로 24|064-738-7720|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDDD2DE49E01A46988109B8661F2DC2AC,
햄버거|꽃담수제버거|제주특별자치도 서귀포시 성산읍 일출로 284-7|064-782-0761|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FEADD0DA023B14E58B0B3653F3E65212D,
이탈리안|페를로|제주특별자치도 서귀포시 안덕면 덕수회관로74번길 33 1층||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F475633CB3B9842FB9E4438811D8AE499,
이탈리안|환이네이태리식당|제주특별자치도 서귀포시 안덕면 사계중앙로18번길 5|070-7788-8686|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC0B2E70D12044099B0ED5EAD1CA699CD,
양식|함쉐프키친|제주특별자치도 서귀포시 대포중앙로 116|064-739-1142|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6BE2111A8B1B45BC9A3144F6F0537D3A,
피자|피제리아3657|제주특별자치도 서귀포시 안덕면 난드르로 56|064-738-3658|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F3c1c8c038878fca00d8ccc32ae638c5d2e3cbfd8,
햄버거|웨이브|제주특별자치도 서귀포시 표선면 표선당포로 10-4 3층|064-900-9171|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F98AB50F305184DD2AD1FD8620A23EB27,
이탈리안|하례정원|제주특별자치도 서귀포시 남원읍 하례망장포로 39|064-733-1337|,
양식|봉유|제주특별자치도 서귀포시 안덕면 중산간서로 1817|064-794-3206|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FDB66048CDFD742C1966134FF69EF5072,
양식|만월당|제주특별자치도 서귀포시 남원읍 남원체육관로 191|064-764-2334|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE611C97440224D0D8336FE0A27F103B4,
이탈리안|까사디노아|제주특별자치도 서귀포시 안덕면 대평로 42|064-738-1109|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FCDC73F1B856E4FCEAD0E4096E1493A75,
양식|포도호텔 레스토랑|제주특별자치도 서귀포시 안덕면 산록남로 863 1층|064-793-7030|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F20B8205E0EA5459C8E379BD756801F13,
이탈리안|빌레왓|제주특별자치도 서귀포시 안덕면 화순서동로 14|064-794-3939|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE2E2C7787299404CABE91F394B1237BA,
양식|비오토피아 레스토랑|제주특별자치도 서귀포시 안덕면 산록남로762번길 79|064-793-6030|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA90F7241C8D44117A41D48122B7A39DB,
멕시칸,브라질|마가리따은혜씨|제주특별자치도 서귀포시 성산읍 일출로 258-11 2층||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F311601109FD143BB9C911D180701C978
이탈리안|비스트로낭|제주특별자치도 서귀포시 안덕면 일주서로 1479 1층|0507-1419-2933|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBBEBEA42FE1C4D418D30B8F754EAF09E,
햄버거|몰마농|제주특별자치도 서귀포시 성산읍 환해장성로 929|010-6346-7906|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F6E5D526BB56A48849677FF536C01E57D,
이탈리안|11시11분|제주특별자치도 서귀포시 홍중동로 9||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F26F76134B1154A98B585B90A7E207700,
피자|어부피자|제주특별자치도 서귀포시 성산읍 서성일로 1078-14|064-782-9242|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FBAA7EC94C3B7472B900C31F38AC7FE12,
양식|성산옥탑|제주특별자치도 서귀포시 성산읍 일출로 270-8 2층||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F517D6E80499A44BB98CF1746483F811C,
양식|신라호텔제주 더파크뷰|제주특별자치도 서귀포시 중문관광로72번길 75 제주신라호텔 3층|064-735-5334|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F20C09E775C5344DEB922DAE31EDB92E3,
양식|LMNT|제주특별자치도 서귀포시 중문관광로110번길 31 1층|070-8900-7600|,
햄버거|황금빅버거 서귀포점|제주특별자치도 서귀포시 남원읍 516로 918|064-733-6298|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F225B7199361A40E5A403BFAD90A40F4F,
양식|스모크하우스인구억|제주특별자치도 서귀포시 대정읍 보성구억로 223|070-7776-8217|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_9197607,
멕시칸,브라질|칸스|제주특별자치도 서귀포시 중정로61번길 20|064-733-2504|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FAF6EEB1D6C3145CEB2A5DA4790540B08
중화요리|덕성원 본점|제주특별자치도 서귀포시 태평로401번길 4|064-762-2402|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0515216910064FC0B0697D787574ADBB,
중화요리|홍성방|제주특별자치도 서귀포시 대정읍 하모항구로 76|064-794-9555|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F375991322A9B41C9AD3F634AA115162F,
중화요리|아서원|제주특별자치도 서귀포시 일주동로 8143|064-767-3130|,
중식|몰질식육식당|제주특별자치도 서귀포시 이어도로 598|064-739-1542|,
중화요리|원조마라도짜장면집|제주특별자치도 서귀포시 대정읍 마라로101번길 48|064-792-8506|,
중화요리|덕성원 중문점|제주특별자치도 서귀포시 중문관광로 321 2층|064-738-0750|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD7487B9020A7485C9373F4045193A112,
중화요리|유달식당|제주특별자치도 서귀포시 일주동로 8106|064-767-0424|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4370EDC06F7545D2BB6811BE3FBDBC9C,
중화요리|성산해녀짬뽕|제주특별자치도 서귀포시 성산읍 일출로 286 1층|064-784-0021|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0104700A309B42B6BE684DC1595D6F09,
중화요리|소낭식당|제주특별자치도 서귀포시 남원읍 일주동로 7905|064-767-4007|,
중식|샤오츠 성산점|제주특별자치도 서귀포시 성산읍 동류암로 20 플레이스호텔 C동 1층|064-766-3028|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FBD7E160713E04764ADA1E0AF525230A2,
중화요리|도두반점 호텔더본점|제주특별자치도 서귀포시 색달로 18|064-766-8999|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F74B07EB59BAC4124B069C05D922AFC18,
중화요리|성산짬뽕|제주특별자치도 서귀포시 성산읍 성산중앙로25번길 13|064-782-7477|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F61308DB02F5646719705052CF89ABB42,
중화요리|류차이|제주특별자치도 서귀포시 중문관광로 330|064-739-4149|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F751C46190AB44D09814A0C79FED2AB50,
중화요리|론푸드차이나|제주특별자치도 서귀포시 천제연로208번길 3|064-738-0048|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F25D54CEF0E414EFA983CB60D2593F141,
중화요리|오일장반점|제주특별자치도 서귀포시 대정읍 신영로36번길 37|064-792-0818|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F39CFA38491C142C4A174E0ED081FAD90,
중화요리|가파도해물짜장짬뽕|제주특별자치도 서귀포시 대정읍 가파로67번길 1|064-794-6463|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F2DE6C66A9E7F49918255F60404AE48A3,
중식|로이앤메이|제주특별자치도 서귀포시 성산읍 온평상하로15번길 12-7|064-782-8108|,
중화요리|와랑와랑|제주특별자치도 서귀포시 태평로 399-1|064-733-5588|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9790C98A707A46D385F4AEE2895AB109,
중화요리|자금성|제주특별자치도 서귀포시 성산읍 일출로288번길 13|064-783-0103|,
중화요리|이비가짬뽕 신화월드점|제주특별자치도 서귀포시 안덕면 신화역사로 502 2층|064-739-1771|,
중화요리|볼고롱짬뽕|제주특별자치도 서귀포시 중앙로 159-2|064-762-8333|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFDBB74EBF8E7478EA3F80B33AD44E827,
돈까스,우동|연돈|제주특별자치도 서귀포시 일주서로 968-10 1층|0507-1386-7060|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F397D51771ACF4535925DA947A7197227
돈까스,우동|표선우동가게|제주특별자치도 서귀포시 표선면 표선관정로 105-1|064-900-4582|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F321A2B2444234E81B989CBF02D34AC61
돈까스,우동|협재수우동 쇠소깍직영점|제주특별자치도 서귀포시 쇠소깍로 186 1층|064-762-8840|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F86D916570A1E49D7B3DC4C964A0463AA
일식|소봉식당|제주특별자치도 서귀포시 안덕면 사계로 191|070-8147-1418|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FFA99F170074D4224ACA48458744EEF8B,
일식집|제주고로|제주특별자치도 서귀포시 대정읍 서삼중로 94||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_605558304,
일식집|나무식탁|제주특별자치도 서귀포시 대정읍 도원로 214|070-4208-3858|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F23E67010832543DC95FF1A54E7318862,
돈까스,우동|바삭돈까스 신서귀포점|제주특별자치도 서귀포시 김정문화로 5|064-738-0911|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCD3A27AF113A42E39CAB7114E312F42A
초밥,롤|타쿠마|제주특별자치도 서귀포시 성산읍 섭지코지로 15|064-783-4894|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1A64B2490977414BA807FE78D7AADFBF
초밥,롤|황금손가락|제주특별자치도 서귀포시 막숙포로 78|064-739-6767|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F65F83F6F50FC4BE3A0879BEA9ABDEE7C
일식|모루쿠다|제주특별자치도 서귀포시 태평로431번길 32 1층|064-733-1477|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5F99AC3C867C49DCBF6A2F24696E4E28,
돈까스,우동|뽕끄랑|제주특별자치도 서귀포시 남성로138번길 1 1층|064-763-3930|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9F0E019EEE114C5E8B413E1E333B4250
돈까스,우동|영육일삼|제주특별자치도 서귀포시 이어도로 679 1층|070-8830-9492|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F80D7F41A3EFE45319157BFE1DEC1495F
일식|히비 안도 코하쿠|제주특별자치도 서귀포시 효돈로 107||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F58380CA8E18B4CC79BB10CB2C1B9072E,
돈까스,우동|표선수제돈가스|제주특별자치도 서귀포시 표선면 표선동서로 279-1|064-787-5677|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE5A92B3DFC6A421CB689C3044C1DC045
일식|잇뽕사계|제주특별자치도 서귀포시 안덕면 사계로114번길 54-12 1층 105,106호||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF05CB3C5EDFA4F04AB288D70358954BB
일식|가파도수산|제주특별자치도 서귀포시 대정읍 하모항구로6번길 22|064-794-6850|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F010C732960874C958A7BB861A264441F,
초밥,롤|석경초밥|제주특별자치도 서귀포시 천지로 18|064-767-1562|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA9A75964C2D444E3AA9F9905C8CB6DF3
돈까스,우동|당포로나인돈카츠|제주특별자치도 서귀포시 표선면 표선당포로 9 1층|070-8900-8285|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F886F758F8E1842EAAE917ECF18EF0610
일식집|코우|제주특별자치도 서귀포시 신중로13번길 3-5 1층||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC02B3CE69BD64D1F8C16A83AB0D9DCBF,
일식집|하찌|제주특별자치도 서귀포시 호근남로 180|064-738-8688|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9EB493A9AE7041CD9A5486E7CB295FEC,
돈까스,우동|남원수제돈까스|제주특별자치도 서귀포시 남원읍 남한로 10-1|064-764-7005|
돈까스,우동|다정한식탁|제주특별자치도 서귀포시 중문로81번길 7-3 1층|070-4548-1930|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F823F170249AE472491DBF10EBF0E7953
일식집|심야식당|제주특별자치도 서귀포시 월드컵로 157|064-738-4572|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F96C12F97C922417D9DF60ECEE9B454D3,
일식|아리|제주특별자치도 서귀포시 홍중로 99 1층 103호|064-739-3183|,
일식집|털보네고양이|제주특별자치도 서귀포시 남원읍 태위로 381|010-8647-8632|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE043554A90174DD188B4F29F309EA79F,
돈까스,우동|187센티멘트|제주특별자치도 서귀포시 서문로28번길 3 1층|0507-1328-5658|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8AE9774E5EF043CC8E1DC0058782AD2C
돈까스,우동|포커스|제주특별자치도 서귀포시 예래로 223-7||//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB833B4FAB0124A63BAB16658A7D145B2
일식|삿뽀로우동집 본점|제주특별자치도 서귀포시 명동로 5|064-732-5931|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FDDA17F1B72824F3DAE7211A0B30FBD0B,
초밥,롤|서작가초밥집|제주특별자치도 서귀포시 태평로 416-1|070-7736-5728|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F56C418CDF94F469EB5C3E468A111C11C
돈까스,우동|국수1번가|제주특별자치도 서귀포시 안덕면 사계로 223 A동 1층|064-794-1240|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE3251A8F19514D38ADD3FCE54A4ADB52
초밥,롤|정초밥|제주특별자치도 서귀포시 동홍로 6 1층|064-762-9165|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC387A40D10F64B598FE8387196DBE126
일식|고쿠텐 서귀포점|제주특별자치도 서귀포시 막숙포로40번길 5 1층|0507-1495-1049|//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F96EF00ADAFBD4FAAA0009BD328497E11,
육류,고기|숙성도 노형점|제주특별자치도 제주시 원노형로 41|064-711-5212|
해장국|우진해장국|제주특별자치도 제주시 서사로 11|064-757-3393|,
한식|고집돌우럭 함덕점|제주특별자치도 제주시 조천읍 신북로 491-9 2층|064-783-6060|,
한식|고집돌우럭 제주공항점|제주특별자치도 제주시 임항로 30|064-722-1008|,
국수|자매국수 본점|제주특별자치도 제주시 탑동로11길 6 2층|064-727-1112|,
쌈밥|이춘옥원조고등어쌈밥 애월본점|제주특별자치도 제주시 애월읍 일주서로 7213 1층|064-799-9914|,
국수|올래국수 본점|제주특별자치도 제주시 귀아랑길 24 1층|064-742-7355|,
