카페,휴일로,제주특별자치도 서귀포시 안덕면 난드르로 49-65,010-7577-4965,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE2056311B2384378AA6C0FF4C58E40BD
카페,허니문하우스,제주특별자치도 서귀포시 칠십리로 228-13,070-4277-9922,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F2B8CD0EA56A04C3E906420BA00D36024
카페,뷰스트,제주특별자치도 서귀포시 안덕면 형제해안로 30,0507-1356-9272,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0CE2F01BA492412DB2D6BFFBA5CC29D0
카페,오르다,제주특별자치도 서귀포시 성산읍 한도로 269-37,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1CDDF5C29CD9415FAA43A3A40B209C10
커피전문점,테라로사 서귀포점,제주특별자치도 서귀포시 칠십리로658번길 27-16,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE462490D6E9540DAA1F4E640A63616AB
카페,카페루시아 본점,제주특별자치도 서귀포시 안덕면 난드르로 49-17,064-738-8879,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8A5F5511ED9A4CD08CB043A82B3055F2
카페,카페서연의집,제주특별자치도 서귀포시 남원읍 위미해안로 86,064-764-7894,
카페,아줄레주,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59 나동,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1696410527
카페,도렐 제주본점,제주특별자치도 서귀포시 성산읍 동류암로 20 플레이스 Love동 1층,064-766-3008,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F237720495858EA6E12
카페,로빙화,"제주특별자치도 서귀포시 남원읍 남태해안로 13 1, 2층",070-4643-7069,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F695259663D114D3CAEDD3595CB3143AD
카페,카페이피엘,제주특별자치도 서귀포시 남원읍 위미항구로 8,064-764-6191,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_473885004
카페,보롬왓카페,제주특별자치도 서귀포시 표선면 번영로 2350-104,064-742-8181,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0F80AF08A80D428A975C43A0C4F3EBD8
카페,꽃이피다앤블라썸,제주특별자치도 서귀포시 남성로 136 1층,064-732-4045,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2DB41614FFBA43EBA2F74E397721FC45
카페,풀베개,제주특별자치도 서귀포시 안덕면 화순서서로 492-4,064-792-2717,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5411AB9F9DFF4FD5846B559D04E51B1B
카페,바다2822,제주특별자치도 서귀포시 중문관광로72번길 29-51,064-738-8884,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF5A7097B532B45E7A9188EF6DA9658A5
카페,호랑호랑,제주특별자치도 서귀포시 성산읍 일출로 86,064-783-9799,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F31b1e4885f8155904a780dbcb3f268321c6b4de0
카페,커피스케치,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA61F93B68D0149A5BF8F4009BCECDE34
카페,모노클제주,제주특별자치도 서귀포시 남원읍 태위로360번길 30-8,070-7576-0360,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5D36A43B9A904554B0E03EEEC14E1BEF
카페,벙커하우스,제주특별자치도 서귀포시 막숙포로41번길 66 1층,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6FEFD129ED054D439445BD18DC8C9D82
카페,비브레이브 혁신도시점,제주특별자치도 서귀포시 서호중앙로 85-13 1층,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F77E4D56DB644497C80C42E089C425F34
카페,오늘은녹차한잔,제주특별자치도 서귀포시 표선면 중산간동로 4772,064-787-6888,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FFAB830BEE57C46A38BEE7D20B7575FDC
카페,카페바나나 중문점,제주특별자치도 서귀포시 일주서로 875,064-738-2540,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE01DB979BBB643EAB8116CF319E60E39
카페,와토커피,제주특별자치도 서귀포시 대정읍 동일하모로 238,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F44FCE09283C74545ABD25D770C6A1680
카페,카페세렌디,제주특별자치도 서귀포시 중문관광로72번길 29-5,064-738-7832,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC35161E273A2404695F586917A477F5B
카페,더리트리브,제주특별자치도 서귀포시 안덕면 화순로 67,010-2172-6345,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6F2B761C04044F2CA3CBAA647DB14EB0
카페,청춘부부,제주특별자치도 서귀포시 대정읍 추사로38번길 181,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDF615A7F9021462AB461CC7AB5C11A9B
카페,사계생활,제주특별자치도 서귀포시 안덕면 산방로 380,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F066F5A2B5B70489B8A2B66081BD5FEC4
커피전문점,랜딩커피,제주특별자치도 서귀포시 성산읍 신양로122번길 45-1 1층,070-8900-0998,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4DCE734D08174CA29906029CA0809717
카페,서귀피안,제주특별자치도 서귀포시 서호호근로46번길 68,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1166620471
카페,코코티에,제주특별자치도 서귀포시 표선면 표선당포로 21-3 1층,064-787-3160,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F5b0f994f4d09ddd75e802ffbb4096808a0768213
커피전문점,와랑와랑,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28,070-4656-1761,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F23116D3D5704CCE51C
카페,온더스톤브런치카페,제주특별자치도 서귀포시 성산읍 해맞이해안로 2746,064-782-0305,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3411E87EA76849E6A0BAE9025A84D6E3
커피전문점,스타벅스 제주중문점,제주특별자치도 서귀포시 중문관광로110번길 32,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2732654755E006B82E
카페,서홍정원,제주특별자치도 서귀포시 솜반천로55번길 12-8,064-762-5858,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F98BFC921139C4C91A1615475CCB6A241
카페,아뜰리에안,제주특별자치도 서귀포시 막숙포로 166,064-739-8100,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F6269C1AA244C4E9CBA406257199A85F1
커피전문점,그리울땐제주,제주특별자치도 서귀포시 남원읍 태신해안로 271 1층,010-9232-9976,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFE0B1CFBAFF641C9B0265F56824F0F63
카페,어니스트밀크 성산점,제주특별자치도 서귀포시 성산읍 성산등용로17번길 55 리치유클래시아 1층 상가 19호,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FEEDBF85B70E84914B31E85702A63C822
커피전문점,스타벅스 제주성산DT점,제주특별자치도 서귀포시 성산읍 일출로 80,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF234281D9F6B4990B7F77835C55CA5F2
카페,하르비커피,제주특별자치도 서귀포시 칠십리로 115,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FF5849C687B44475D91616A0DAE865236
카페,텐저린카페,제주특별자치도 서귀포시 이어도로 880,,
카페,수마,제주특별자치도 서귀포시 성산읍 일출로 264-6 1층,064-784-2902,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA504C5B0B1E449DD9B52A2863CAC569D
테마카페,어린왕자감귤밭,제주특별자치도 서귀포시 대정읍 추사로36번길 45-6,010-3393-3132,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F82E3A8D92EB844698F44B6EA392C9365
카페,오늘의바다,제주특별자치도 서귀포시 이어도로 990,,
커피전문점,스타벅스 성산일출봉점,"제주특별자치도 서귀포시 성산읍 일출로 284-5 1,2층",1522-3232,
카페,카페블루하우스 올레시장점,제주특별자치도 서귀포시 중앙로 73 1층,010-5541-1688,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB059BFDCC99B409F8FDCF0111B08483E
커피전문점,스타벅스 제주중문DT점,제주특별자치도 서귀포시 천제연로 95,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8181FD420D024D2EA90D7DEC3B2A9696
커피전문점,스타벅스 서귀포DT,제주특별자치도 서귀포시 일주서로 11,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F79FF82A68ECF47A5B3672AB8F6FE387F
카페,카페차롱 (휴업중),제주특별자치도 서귀포시 안덕면 감산로 3,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDB88E3C73F1C4A29ABBD92790427AA9D
커피전문점,모카다방,제주특별자치도 서귀포시 남원읍 태신해안로 125,064-764-8885,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F13AB00C900B04A078DDC165FFEA783B1
카페,볼스카페,제주특별자치도 서귀포시 일주서로 626 1층,070-7779-1981,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F41E8935B33F54711A7116C9A87E10809
커피전문점,스타벅스 제주서귀포점,"제주특별자치도 서귀포시 중정로 53 1,2층",1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2772354C55E006D621
카페,망고레이 섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 102,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FAE8E8481C22140A39C5A5EA942F16076
카페,신산리마을카페,제주특별자치도 서귀포시 성산읍 환해장성로 33,064-784-4333,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC6908F4BEF594F8BADB5845C961910FF
커피전문점,스타벅스 제주송악산점,제주특별자치도 서귀포시 대정읍 형제해안로 322 1~2층,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9778A605AEF54447BC51361837A5593D
테마카페,바램목장&카페,제주특별자치도 서귀포시 안덕면 신화역사로 611,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD9841500EC9F4B7191419ECC481923A7
카페,도바나,제주특별자치도 서귀포시 표선면 표선백사로 127,064-787-6788,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_33783479
카페,인스밀,제주특별자치도 서귀포시 대정읍 일과대수로27번길 22,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6AE26E8324264777A7AE2F9D3033F260
커피전문점,마노커피하우스,제주특별자치도 서귀포시 중문상로 97 1층,010-2882-1230,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9A971E393A5C49D49885F98949384CC4
카페,사일리커피,제주특별자치도 서귀포시 대정읍 최남단해안로 412,010-9904-3382,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2F3342da2a45084a271f80e2284e4b2d94a4144b83
테마카페,트로피컬하이드어웨이 브런치카페,제주특별자치도 서귀포시 대정읍 형제해안로 284,064-792-1461,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F2470683DCC21416A81B814247C769529
카페,여섯번의보름,제주특별자치도 서귀포시 호근남로5번길 14-5,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1715000296
카페,디피159,제주특별자치도 서귀포시 대포로 159 1층,064-738-4554,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6E9B984DCB1143A0AC8829FF4658227E
카페,오른,제주특별자치도 서귀포시 성산읍 해맞이해안로 2714,064-783-1559,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F957AEC9294504B33832481A6DD3E1AB1
카페,어반정글,제주특별자치도 서귀포시 성산읍 신고로22번길 39,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3879C6311C5F4E53A568A44BF2B0B8C0
카페,카페바르941,제주특별자치도 서귀포시 성산읍 환해장성로 941,010-6222-9457,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_793896568
카페,리틀포레스트,제주특별자치도 서귀포시 월평로 15,010-7448-0903,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7803BD994A4F452E95534856BFCF4A33
북카페,소라의성,제주특별자치도 서귀포시 칠십리로214번길 17-17,064-732-7128,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC6F0A6D1988641EA85D6AC2D3F581A24
카페,숑,제주특별자치도 서귀포시 남원읍 공천포로 91,070-4191-0586,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F1261A039501A4A5E0A
카페,어니스트밀크 본점,제주특별자치도 서귀포시 성산읍 중산간동로 3147-7,070-7722-1886,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FFE7A7E9AF8C040C7AE7AA60383019634
카페,그레이그로브,제주특별자치도 서귀포시 안덕면 형제해안로 70,010-6667-4800,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3129D367B11B45ACA9BF1F7DCD62A3F0
카페,카페코지,제주특별자치도 서귀포시 성산읍 한도로 200 2층,064-784-1005,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE60A881125054DDC9E2AE4380E6B9D72
카페,잔디공장,제주특별자치도 서귀포시 성산읍 일주동로5154번길 5,070-7576-2553,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F768AD4EE25BD4DD593894D4925912199
카페,서양차관,제주특별자치도 서귀포시 보목포로 145,064-732-1555,
카페,동박낭,제주특별자치도 서귀포시 남원읍 태위로 275-2,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB7036CBC3FAD4A8C9CA9DF7039C5B03B
카페,섶섬할망카페,제주특별자치도 서귀포시 보목로64번길 11,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5577294A53EE4A5494E0DCC27D93A830
카페,올디벗구디,제주특별자치도 서귀포시 일주서로 330,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7E108BEEFD6946D69BD58DFA12D3E7AE
카페,60빈스,제주특별자치도 서귀포시 태평로120번길 29-2,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F284EFF78A7D4480FB9D49EE23FC980BE
디저트카페,동백정원,제주특별자치도 서귀포시 이어도로343번길 117,064-738-4592,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F59E2F673581C4BDCB368A143766A72E2
카페,귤꽃다락,제주특별자치도 서귀포시 이어도로1027번길 34,064-739-2323,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC260F8F03093444B918387386980EF17
커피전문점,스타벅스 제주신화월드R점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 지하1층 29호,1522-3232,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F83CA2D2165B2464F82FE62508A3DC151
카페,카페두가시,제주특별자치도 서귀포시 안덕면 대평감산로 9,064-739-0108,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F58D0D5A62BA646F09F4842FCA11F8906
카페,카페2472,제주특별자치도 서귀포시 천제연로 103-15 2층,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_152440976
카페,카페희상,제주특별자치도 서귀포시 표선면 표선동서로 324-18,010-5660-4409,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F245025A0B47441439556BA017638EF30
카페,소보리당로222,제주특별자치도 서귀포시 소보리당로 222,010-3832-7896,
카페,오버더윈도우,제주특별자치도 서귀포시 태평로 379-1,0507-1406-9371,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0424D0DDFACE42179455017EE96BEE83
카페,카페숨도,제주특별자치도 서귀포시 일주동로 8941,064-739-3331,
카페,카페더라이트,제주특별자치도 서귀포시 성산읍 한도로 269,064-784-0080,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalad_thumb%2Ft%2Fdf38e6e7709c32681deb3a459cf4c7219072182d
카페,알맞은시간,제주특별자치도 서귀포시 남원읍 신흥앞동산로35번길 2-1,070-7799-2741,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEFE018CFDB7C48C989E56B485A94FFD2
카페,헤이브라더,제주특별자치도 서귀포시 안덕면 형제해안로 72,064-794-0072,
카페,블루마운틴 4255,제주특별자치도 서귀포시 성산읍 중산간동로 4255,064-782-0428,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFE14169E54824AB3BD74B1B8E04F5179
카페,뜻밖의발견,제주특별자치도 서귀포시 신서로122번길 38,,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F62BBFA25B23C422CB678652624941067
카페,사우스커피,제주특별자치도 서귀포시 안덕면 화순로 191-43 1층,070-4548-5838,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F500BCBF7E1D94FBCB8FBF7DD31B9BDA2
카페,로즈마린,제주특별자치도 서귀포시 남성중로 13,064-762-2808,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F851EC5FFDED743E8ACE2BD69EE7D764E
카페,그림상회,제주특별자치도 서귀포시 표선면 중산간동로5570번길 9,064-787-7607,
커피전문점,봉꾸라주,제주특별자치도 서귀포시 신서로48번길 5 1층,070-8866-1229,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_606094120
카페,네이처캔버스,제주특별자치도 서귀포시 남원읍 중산간동로 7129,0507-1425-4858,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB8F5E0882F9341FE8BEEC79859FBD10E
테마카페,에곤,제주특별자치도 서귀포시 성산읍 신고로 52-18 1층,010-3004-0315,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F805B302D315B460DB3818431379C4BF0
카페,메이비,제주특별자치도 서귀포시 이중섭로 34,070-4143-0639,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F3221F499C50B4C468292293BE720EBEB
카페,빌라드아토,제주특별자치도 서귀포시 태평로 413,064-763-7374,
카페,플레이커피랩,제주특별자치도 서귀포시 서문로28번길 2 1층,064-762-6661,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F771648CDCA2B46B9BAC3CA39A91967AB
카페,벨진밧,제주특별자치도 서귀포시 대정읍 안성리 2014-3,064-794-0121,
카페,제이아일랜드카페,제주특별자치도 서귀포시 성산읍 환해장성로 69 1층,064-782-7077,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F51DC98C5FAAE497DA6F38B5891DE798D
카페,카페아오오,"제주특별자치도 서귀포시 성산읍 환해장성로 75 1,2층",,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F338A78F48F0E4967B6FCDF51EA5EC7CD
카페,간이옥돔역,제주특별자치도 서귀포시 남원읍 남태해안로 484,064-764-9289,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F256E6048561F46B605
카페,오라디오라,제주특별자치도 서귀포시 안덕면 사계로114번길 54-102 2층,064-794-0340,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F29B7C40851694A199138E2FFE9CAA47A
카페,꼬라지오,제주특별자치도 서귀포시 일주동로 8777,064-762-2297,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FABEFDEA9447E4D0084270F019531C6EC
